Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
BORDERFREE INC,BRDR,-.65,1.51999,0,13.77999,,,,,-.01,,61.45,42.04,-.32,-.32,1.96,75.06999,110.46,3.73,-13.27001,41.93,.00999,3.52,126.99,65.65,0,1.6,80,0,42,10,0,20,0,0,0,164.13,1313,,33.11,142.08,,35.73,0,0,0,,412.95162,,,,,,,20,,,19.26,11.01,-.05,13.13,20,23.58,-10.74,-22.86,,,0,.08,0,0,,,,,-442.10526,,.01,,,,0,0,-.06,,.14,,2.598,NSDQ,
CRAFT BREW ALLN,BREW,1.95,30.61,16.62999,11.36999,1.1272,8.16489,16.88199,1.83,.01,1.12,35.47999,29.7,3.25999,3.72,11.88,128.91,179.18,5.86,111.23,0,11.05,1.95,20.62,2.29,0,1,100,0,70,2,0,0,0,0,0,35.72,45.72,60.16,54.45999,204.74,11.13,5.84,0,0,0,.02,217.35289,1.3335,2.06,1.82599,2.9,3.21,-4.06,20,-34.58,-30.39,1.15,8.96,.1,11.43,17.78,28,.53,-2.64,2659.38,-7.69,108.33,.32,0,0,,0,,2659.38,-22.61905,,.25,.1,,166.67,0,0,.1,,.06,,10.49699,NSDQ,
BROOKLINE BC,BRKL,35.38,154.77,13.36999,4313.99023,.0426,2.561,.05253,16.08,.16,2.82,4419.85986,3886.48999,56.65,68.04,83.70999,18.77,220.21,8.85,618.16998,0,812.54998,1.02,12.23,,0,2.67,33.33,0,205,29,0,66.67,0,,0,15.43,16.88,17.31,48.66899,198.908,14.44,-5,0,0,0,.78,211.818,.84318,.68,2.67429,2.48,5.88,14.2,,-9.48,-5.76,1.47,8.66,.14,9,10.08,23.94,-2.39,-5.36,-9.83,-1.89,2.56,.58,.34,3.78,0,3.68,-6.59244,-9.83,-4.73883,.03903,.53,.54,97.62,105.13,0,0,.13,.04,.14,.04,51.651,NSDQ,
BRUKER CORP,BRKR,80.09999,233,589.79998,307.6,.96451,1.7336,6.22819,7.2,.04,2.01,1431.90002,648.59997,124.59999,124.59999,185.89999,1034.19995,1839.4,5.18,850.20001,0,354.29998,4.32,19.69,1.86,-12.5,1.8,60,0,16,6,.07,40,0,0,0,22.01,25.78,28,464.53799,1911,14.32,2.68,0,.22,0,1.24,417.80975,7.85029,6.94,16.666,11.65,16.71,12.48,13.86,10.07,13.3,8.37,17.8,.21,22.4,24.56,68.05,-6.67,-8.79,23.01,-7.23,12.84,1.02,0,0,,0,,23.01,3.35483,.0157,.87,.74,,118.75,0,0,.19,.04,.35,.03,190.6,NSDQ,
BROOKS AUTOMATN,BRKS,-2.21001,182.11,97.70999,77.48,.65915,3.3731,6.03369,4.35,0,1.45,330.10998,92.55999,-6.76001,-6.758,18.662,304.97,450.95,9.52,632.65002,0,0,1.11,18.29,,0,1.25,100,0,103,3,0,0,0,,0,24.23,41.33,31.94,120.8,496.14999,9.8,-13.19,0,0,0,1.73,352.06762,3.86579,3.07,4.9217,3.35,3.6,-39.37,,-7.09,.48,9.11,8.8,.05,10.54,11.44,65.91,2.63,-3.83,-65.62,-58.33,27.5,.44,.31999,3.04,0,1.88,-87.59861,-65.62,-101.61574,.13864,.25,.02,100,38.46,0,0,.03,.57,.08,.18,38.30799,NSDQ,
BIO REFERNC LAB,BRLI,45.81999,51.5,19.09,206.25999,1.81099,22.083,3.5789,5.14,.06,1.16,294.86999,133.75999,81.08999,82.69,102.41999,392.80999,715.35,10.29,271.58999,0,14.38,3.09,13.41,1.23,0,2,50,0,64,18,0,50,0,0,0,16.37,18.63,22.52,211.44,816.22998,18.2,8.11,3.03,0,0,.89,440.14593,12.98799,9.3,18.65699,13.55,14.3,20.29,15.15,17.67,24.35,26.68,24.4,.54,31.76,37.73,55.23,3.28,1.21,-14.16,9.27,3.33,1.94,0,0,,0,,-14.16,8.70699,.01244,1.71,1.65,,100.94,0,0,.54,.01,.7,,65.555,NSDQ,
BROADSOFT INC,BSFT,-8.87,85.58,0,66.58999,.48912,,3.4121,-3.4,-.05,3.71,247.27999,86.20999,-14.28,-6.88001,3.92,41.38,178.49,7.25,200.50999,0,91.54,3.27,66.16,,0,2.11,55.56,0,165,5,0,44.44,0,0,0,86.25,,,51.712,205.77699,27.63,8.28,0,0,0,.99,169.50903,.78903,-1.66,-23.80801,-2.18,-3.19,-28.56,16.67,-14.5,-13.18,13.71,20.16,.03,23.72,37.47,20.57,-2.79,-3.66,-273.85,-104.4,-187.5,.28,0,0,,0,,-273.85,-173.488,-1.69879,-.12,-.23,,-39.29,0,0,-.1,2.96,.23,.35,10.17899,NSDQ,
SIERRA BANCORP,BSRR,13.35999,5.53999,.1,793.08001,.04887,10.63599,.08585,22.05,.19,3.18,871.19,1180.15002,16.45999,17.21999,27.52,2.45,68.85,12.93,181.66999,0,30.92,1.21,9.37,,0,3,0,0,158,33,0,100,0,,9.95,13.7,14.88,14.74,16.89999,66.5,-5.44,-5.72,0,12.31,0,.84,110.28501,.66339,1.08,4.4993,7.2,8.42,8.44,,-5.99,-2.92,1.63,14.38,.26,15.62,19.38,24.8,.19,-3.76,54.79,62.07,11.7,1.14,.25999,2.3,-1.11171,2.31,71.6898,54.79,63.32517,.06734,1.05,.88,86.67,113.04,8.33,15.56,.23,.05,.26,.05,23.669,NSDQ,
BIOSPECIFICS TE,BSTC,5.28,.20999,0,5.26,.58789,,3.2097,35.38,.36,12.64,18.27,.77999,7.96999,7.96999,8.02999,0,14.47,3.68,22.32999,0,0,7.13,31.05,,0,1,100,0,,,0,0,0,,,,,38.51,,,24.69,29.81,,,0,1.13,,8.61639,20.8,7.6388,21.85,21.85,13.03,,15.48,20.86,4.14,16.43,,26.19,28.18,83.06,-.15,-4.87,30.48,76.74,,,0,0,,0,,30.48,77.18121,,,.75,,,,,.24,,,,5.346,NSDQ,
FIRST BUSEY-A,BUSE,28.71999,30.25,13.84,2233.88989,.04725,.321,.07602,18.5,.17,2.85,2479.33007,3041.47998,42.83,44.36,61.7,7.09,171.28,4,342.70001,72.66,55,1.37,10.34,2.12,0,2.43,28.57,0,204,16,0,71.43,0,0,-.89,12.97,14.84,16.64,40.832,161.82499,-8.57,-6.8,0,1.2,0,.97,79.43206,.00116,.87,.06167,6.56,8.99,-1.64,7,-8.39,-5.34,.18,4.76,.09,5.49,6.2,50.69,0,-7.42,30.49,31.82,27.59,.42,.11999,3.64,-3.40511,3.51,42.71528,30.49,28.50111,.02417,.37,.3,105.56,118.75,0,1.79,.09,.06,.1,.05,46.066,NSDQ,
BAZAARVOICE INC,BV,-63.16,152.53999,0,39.09,.55899,,5.202,-18.71,-.38,3.16,154.28999,115.98,-53.34001,-53.34001,-35.78,52.9,168.15,2.68,206.46,0,0,2.74,,,0,2.33,33.33,0,54,13,.33,66.67,0,,-9.9,,,,43.955,188.10699,,4.9,,-1.54,0,.66,286.64141,-41.85201,-10.46,-45.848,-15.33,-15.33,,,-10.43,-6.94,21.82,5.93,-.17,7.37,11.37,26.47,-2.51,-8.79,.92,22.39,-6.73,-.33,0,0,,,,.92,.92549,-.16563,-.56,-.45,,165,-16,-22.22,-.17,-.13,-.15,-.15,-21.91601,NSDQ,
BROADWIND ENRGY,BWEN,-10.49,5.9,37.13999,18.72999,1.42809,5.90819,10.77799,-2.34,-.05,.5,86.33,60.52,-10.31001,-9.33,5.51999,203.36,215.71,6.44,95.33,0,3.94,1.3,16.27,,0,2,50,0,131,34,0,50,0,,0,14.96,20.95,,76.51,264.5,3.52,2.37,0,0,0,2.38,123.28656,-10.16,-2.08,-13.643,-5.31,-3.48,,,-12.02,-11.23,-32.91,4.58,.14,8.38,13.49,42.65,-7.91,-11.04,63.93,55.65,178.43,.56,0,0,,0,61.09599,63.93,41.39664,,.4,-.68,116.67,-127.27,0,0,.09,,.24,,7.51399,NSDQ,
BUFFALO WLD WNG,BWLD,71.55,65.93,9.48999,26.17,2.0234,79.924,55.721,6.28,.06,1.99,182.75,166.47,101.52999,101.52999,186.5,724.04998,1266.72,26.44,465.79998,0,0,5.53,17.55,1.5,4.96,2.13,50,5.56,156,32,-.11,44.44,5.56,-.09,-1.02,24.52,29.03,30.53,370.82598,1501.16296,24.88,21.74,1.19,.04,0,.94,162.61529,11.092,13.12,16.36899,18.29,18.78,21.49,19.3,-5.49,-.64,2.39,97.69,1.07,146.26,167.15,69.93,-9.14,-9.9,50.58,23.86,32.92,5.96,0,0,,0,50.68128,50.58,24.93452,.02133,5.04,3.75,85.79,112.88,-4.16,-4.51,1.2,.05,1.23,.06,156.524,NSDQ,
BAYLAKE CORP,BYLK,8,6.63999,1.36,612.79998,.04463,2.7476,.07136,19.89,.18,2.21,690.40997,810.69,11.31999,13.35999,17.09,2.49,44.57,12.24,93.87999,0,92.19999,1,8.16,,0,1,100,0,204,1,0,0,0,,,12.25,12.89,12.76,10.10999,39.99,-5.88,-15.92,,,0,.79,97.22824,.45328,.89,2.75939,4.93,9.34,43.27,,-10.29,-5.91,-1.53,10.05,.24,12.25,13.99,55.84,-.41,-1.68,2.88,3.57,9.2,1,.21999,2.29,,.83,3.14941,2.88,4.71204,,.95,,100,100,,,.23,,.25,,11.739,NSDQ,
CA INC,CA,914,6985,0,800,.38084,,6.74949,28.45,.2,2.84,4559,3922,1039,1093,1519,656,4515,12.69,5570,0,1252,2.24,7.38,3.87,1.43,3.29,14.29,28.57,34,85,0,57.14,0,-5.97,-1.82,11.75,12.18,10.02,1102.76,4416.3999,1.52,-2.76,-.58,-2.02,0,1.34,4238.12939,9.036,10.84,15.59,18.13,22.56,15.52,3.15,-17.83,-15.39,-4.27,27.98,.61,28.47,34.43,7.6,-3.95,-3.03,-24.28,20.75,-19.7,2.42,1,3.51,72.48,2.17,-4.38953,-24.28,-4.2932,.0089,2.34,2.89,98.39,73.49,-7.89,2.23,.57,.04,.58,.08,1728.31994,NSDQ,
CHINA AUTO SYS,CAAS,26.78,.68,51.38999,284.82998,.78418,6.7813,1.5527,5.63,.06,.56,470.39999,291.07,38.24,37.81999,52.45999,338.51998,415.16,9.9,271.76998,0,2.75999,.88,6.4,,0,3,0,0,148,32,0,100,0,,0,7.89,9.23,9.98,113.59999,478.51,12.14,23.56,0,0,0,2.61,243.41323,6.7802,4.42,15.368,9.14,9.19,-5.33,,6.48,9.46,17.14,6.07,.22,8.68,10,66.41,-5.14,-1.7,3.82,22.06,13.25,1.1,0,0,,0,,3.82,29.12247,,.94,.92,,122.22,0,0,.22,,.26,,38.04299,NSDQ,
CASCADE BANCORP,CACB,50.84,0,10.35,973.60998,.04678,.14814,.06904,77.14,.78,3.92,1065.81994,1190.5,.68999,1.65999,4.71,1.78999,65.44,4,188.71,0,27,1.34,4.72,9.73,0,3,0,0,158,33,0,100,0,0,0,15.29,48.64,5.05,27.165,90.134,-16.41,-3.73,0,0,0,.93,127.22567,-1.4458,3.61,-7.7762,24.12,26.58,,5,-.79,2.29,13.83,4.2,.05,5.35,6.31,54.5,0,1.52,660.6,723.08,-89.72,.35,0,0,,0,,660.6,754.45379,.12856,.11,1.08,,5.1,0,0,-.05,.57,.08,.71,53.895,NSDQ,
CREDIT ACCEPT,CACC,253.1,0,0,1.1,.28608,,544.54901,36.42,.37,3.62,2383,236.5,398.20001,463.20001,476.39999,0,682.1,31.16,750.09997,0,1289.59997,3.64,9.96,.85,0,3,0,0,147,17,0,100,0,12.02,.5,8.67,9.48,10.2,,727,16.15,11.97,.34,.54,0,.5,1275.97937,11.29699,10.37,14.019,12.42,36.75,27.81,11.18,-16.24,-12.79,-13.22,107.55,3.11,113.37,146.81,14.82,-4.75,-10.38,6.47,22.37,15.72,13.07,0,0,,0,5.34736,6.47,15.20255,.02422,11.97,10.44,104.19,114.15,1.9,1.14,2.94,.02,3.22,,261.5,NSDQ,
CACHE INC,CACH,-34.43001,.1,23.67,2.79999,3.8896,6.1817,83.40399,-11.33,-.16,.16,32.25999,26.37,-24.16,-24.16,-18.69001,143.3,216.7,.35,16.78,0,0,3.19,,,0,1,100,0,143,2,0,0,0,0,0,,,,45.43,206.335,.03,-3.35,0,0,0,1.04,16.73982,-11.75801,-44.07,-25.299,-127.76,-127.76,,30,-79.37,-79.19,-42.05,1.13,-.3,1.13,6.69,0,-15.67,-30.25,8.98,-91.23,-1.83,-.27,0,0,,0,,8.98,-185.25271,-.08919,-1.11,-.98,,250,0,0,-.29,-.05,-.05,-.47,-14.525,NSDQ,
CEASERS ACQ-A,CACQ,97,0,0,2.5,,,,,.19,,3.59999,1.89999,142.19999,181.89999,152.19999,189.1,512.8,8.45,1145.69995,0,0,1.36,25.06,,0,3,0,0,90,27,0,100,0,,0,3.74,9.9,,517.29998,1768.40002,,.27,0,0,0,,1558.66247,,,,,,,,-8.71,-4.81,-14.96,10.61,.46,11.48,16.38,15.08,-1.29,-4.97,,,33.33,3.07,0,0,,,,,-23.50158,,1.16,.87,,,0,0,.37,,.52,,62.18999,NSDQ,
CHINA ADV CONS,CADC,-23.598,0,2.03999,111.26999,.35278,,.56897,-42.36,,.13,137.25,85.19999,-6.35,-4.73001,-.35,116.55,74.49,,79,0,0,,8.98,,,,,,,,,,,,,,,,,,-.64,-48.68,,,,1.39,,5.63649,-17.74,8.2453,-33.86,-35.89,,,-26.31,-21.18,-25.39,3.32,,3.85,8,11.33,-11.7,-25.1,3.23,-351.01,,,0,0,,0,,3.23,-278.7801,,,,,,,,-5.7,,,,.637,NSDQ,
CHEESECAKE FACT,CAKE,114.34999,18.63999,35.47,70.06999,1.756,43.46599,37.09899,5.82,.06,1.11,225.89999,264.23999,156.44999,160.94999,239.5,1511.31994,1877.91,10.19,577.34997,0,0,4.21,11.65,1.38,0,2.33,33.33,0,156,34,0,66.67,0,-3.54,-2.96,16.64,19.36,20.33,497.23599,1981.04602,4.22,3.81,-.12,-3.37,0,.98,126.0083,8.8718,10.22,15.93099,20.13,20.59,17.44,14.07,-14.95,-11.15,-2.81,41.77,.56,42.89,49.44,14.6,-1.2,-8.49,9.57,11.7,5.49,2.58,.51999,1.31,,.49,8.3394,9.57,16.18573,.0154,2.22,2.11,95.64,108.52,-2.77,-6.91,.61,.02,.62,.02,192.569,NSDQ,
CALLIDUS SOFTWR,CALD,-21.41,48.2,0,29.20999,.89284,,4.6564,-3.73,-.19,4.12,71.59999,64.44,-19.35001,-16.17001,-6.33,47.77999,112.34,.91,42.04999,0,15.17,12.27,164.64,,0,1,100,0,34,2,0,0,0,0,0,,,,33.27799,129.56599,7.75,18.31,0,0,0,1.3,256.44564,-13.18401,-1.63,-27.369,-7.48,-7.69,,20,-25.25,-18.72,14.34,6.67,-.03,11.16,15.24,52.39,-1.85,-10.43,62.51,63.64,45,-.04,0,0,,0,38.14155,62.51,22.67967,-.12857,-.11,-.17,75,-300,0,0,-.04,0,-.02,0,2.73699,NSDQ,
MAGICJACK VOCTC,CALL,70.30999,47.95999,4.48999,3.61999,.91589,10.78199,34.076,30.97,.49,1.74,91.58999,68.01,47.13999,47.43999,52.29,49.09,143.49,2.53,37.43999,0,0,5.48,4.65,,0,2,50,0,18,51,0,50,0,,-7.97,9.57,10.92,5.78,33.93399,137.292,81.44,-9.39,-5.88,-14.2,0,2.26,247.32984,14.743,28.36,,254.11,254.11,,,14.71,16.46,-19.73,10.97,.32,13.87,24.54,21.37,-1.21,-7.47,15.38,33.66,-53.65,1.45,0,0,,0,,15.38,25.89077,,1.27,2,,47.76,-10.53,-11.11,.32,,.34,,55.38,NSDQ,
CALAMP CORP,CAMP,11.8,44.54999,14.96,36.9,1.394,11.26799,7.41219,10.75,.05,2.58,92.23999,42.11,17.90999,18.27,26.70999,155.97,235.9,3.81,133.13999,0,.69999,4.54,18.55,1.04,4.76,1.33,83.33,0,83,11,0,16.67,0,0,-5.84,16.27,20.76,24.03,59.082,252.22399,21.15,30.64,0,-5.48,0,1.05,207.22515,6.56869,14.98,8.38609,19.69,19.96,168.66,20,-41.78,-38.15,13.52,15.19,.17,17.3,34.41,10.98,-1.09,-12.32,-69.59,16.95,20.77,1.06,0,0,,0,-73.5513,-69.59,-73.55446,.03019,.83,.72,104.17,98.04,-8.5,-14.53,.16,.03,.23,.07,33.208,NSDQ,
CAMTEK LIMITED,CAMT,.007,2.55999,17.90999,27.28,.95522,2.82559,3.3742,3.27,0,1.22,70.52999,23.32999,-.60001,-.60001,1.98,51,85.4,2.06,61.88999,0,0,1.76,25.52,,0,1,100,0,8,2,0,0,0,,15.39,12.52,24.2,22.69,23.2,91.9,9.81,1.01,0,-3.33,0,1.87,110.5698,5.06339,4.65,9.1427,4.78,6.97,-24.38,,-12.3,-10.37,13.79,1.64,.03,3.63,5.75,48.42,3.12,13.44,321.92,-57.14,150,.29,0,0,,0,206.07287,321.92,133.33334,,.15,,37.5,150,-33.33,-25,.03,,.02,,4.274,NSDQ,
AVIS BUDGET GRP,CAR,16,1614,0,619,.46362,,16.666,3.26,0,.74,1944,1568,97,888,2759,4074,7937,6.57,771,0,10642,8.67,2.87,.68,0,2.22,50,16.67,37,36,0,33.33,0,9.06,.21,15.6,19.75,24.89,2530.30004,8521.35839,11.97,7.88,2.26,.16,0,3.09,1201.31506,1.19939,1.51,1.73629,2.14,36.12,55.45,28.9,33.09,40.99,10.04,26.77,1.84,56.99,61.73,86.44,-5.02,-7.68,-75.28,-9.47,31.18,3.65,0,0,,0,,-75.28,-94.48276,.00936,2.89,2.17,,368.8,-.8,-.22,.63,.03,.25,.14,2127,NSDQ,
CARA THERAPEUTC,CARA,-3.96001,0,0,.05999,,,,,-.33,,14.55,5.42999,-3.99001,-.24,.66,0,11.96,2.96,-54.07,65.58,0,4.02,,,0,1.25,100,0,12,108,0,0,0,,0,,,,5.75,2.15269,,905.38,0,-7.78,0,,89.72994,,,,,,,,,,-12.62,10.6,-.29,11.91,22.49,11.02,-11.19,-29.69,,-76.19,-47.74,-1.22,0,0,,,,,36.8421,-.16113,-1.09,-.6,,,0,0,-.23,-.29,-.31,-.23,-2.172,NSDQ,
CARBONITE INC,CARB,-10.60001,15.47999,0,1.87,1.03849,,53.249,-2.43,-.1,2.24,70.37999,81.45999,-10.55001,-10.55001,2.01999,34.88,107.19,.51,12.81999,0,0,19.01,55.69,,-9.09,2.4,40,20,122,10,.2,40,0,0,3.57,,,,31.305,122.72,34.82,27.55,0,0,0,.73,259.18902,-38.535,-3.14,-125.783,-24.19,-27.83,,27.5,-21.26,-17.92,-2.22,8.56,-.06,9.71,16.48,14.52,-8.65,-22.32,71.37,51.61,10,-.19,0,0,,0,75.82226,71.37,44.00422,,-.27,-.41,75,150,0,33.33,-.09,,-.08,,4.611,NSDQ,
META FINL GRP,CASH,13.40999,2.32999,0,392.70999,.05475,,.24128,16.08,.14,2.32,432.77999,1531.35998,17.12,18.79,39.88999,1.27999,94.48,25.49,142.97999,0,17.30999,1.46,5.84,,0,1.67,66.67,0,205,10,0,33.33,0,,0,10.76,12.8,14.16,26.235,100.65499,-6.46,-11.6,0,0,0,.16,113.7236,.78193,.89,8.4482,9.72,10.91,6.95,,-12.64,-7.98,.65,29.42,.79,37.11,45.99,46.41,-3.71,-6.71,36.3,-19.95,-2.36,3.45,.51999,1.4,0,2.31,48.10653,36.3,-21.62479,.05364,2.9,2.41,115.44,126.61,0,0,.8,.12,.83,.1,37.91799,NSDQ,
CASEYS GEN STRS,CASY,134.50999,120.4,204.83,38.31,3.5243,32.983,244.54899,1.72,.02,.32,378.14001,362.94,206.52999,245.8,377.25,6605.99023,7840.25,18.7,719.85998,0,853.64001,3.57,9.65,1.65,0,2.5,33.33,0,86,4,0,66.67,0,0,-1.12,16.42,18.92,19.28,2260.54809,8647.13769,15.63,8.13,-3.18,0,0,.69,421.12155,7.2059,6.05,10.574,8.85,19.44,11.77,11.5,-9.82,-5.05,-.02,64.5,1.23,66.7,77.07,17.5,-1.26,-5.63,21.59,17.69,1.88,4.06,.72,1.2,18.965,1.14,,21.59,21.59644,.03636,3.53,3.42,,86.24,-.46,-.67,1.23,.04,1.08,.06,265.96398,NSDQ,
CARDTRONICS INC,CATM,20.63999,566.09997,5.3,58.27,.96375,113.18699,16.63199,8.97,.02,1.77,206.77,214.78999,62.65999,83.80999,181.55,595.28002,876.49,5.77,247.11,0,489.22,6.72,9.92,1.31,22.22,1,100,0,37,1,-.29,0,0,0,0,16.17,18.72,19.78,253.473,1009.41998,15.86,12.31,0,-.14,0,.7,862.04174,8.0949,8.46,12.074,12.34,35.33,34.78,14.25,-15.04,-10.79,17.38,28.29,.53,38.76,44.31,65.36,7.91,12.71,-53.71,24.11,18.29,2.4,0,0,,0,-44.54761,-53.71,-52.28849,0,2.07,1.75,96.36,103.92,0,0,.52,.07,.54,.08,175.90299,NSDQ,
CATHAY GENL BCP,CATY,123.13999,318.57,0,7953.6499,.04111,,.05692,28.48,.26,4.42,8629.26953,8813.49023,194.16999,236.08,251.85,40.38,467.3,19.32,1458.96997,0,661.39001,1.32,14.58,1.87,0,2.2,60,0,158,20,0,40,0,0,2.87,14.19,14.99,15.83,99.03299,387.70001,-5.33,-1.88,0,1.7,0,1.49,507.17941,.6035,1.17,3.40829,6.09,8.82,28.07,8,-8.35,-4.68,8.75,21.79,.44,25.48,27.63,63.18,-3.63,-3.63,11.32,11.72,18.88,1.79,.07999,1.1,30.485,.42,6.97184,11.32,4.86247,.02037,1.7,1.44,100,115.79,1.73,4.14,.41,.02,.44,.02,138.91299,NSDQ,
CAVIUM INC,CAVM,-2.96001,114.70999,45.75999,43.63,.87819,2.68919,6.63059,8.05,-.01,7.44,223.64999,72.58,-11.75,-10.25,30.73999,114.66999,303.99,5.44,274.82998,0,16.29,8.64,39.62,2.97,11.99,1.64,71.43,0,69,22,0,28.57,0,0,0,39.34,63.75,87.13,96.36699,371.14199,26.98,29.1,0,0,0,1.48,497.20556,2.37369,8.41,3.0058,8.8,11.21,10.78,21.5,29.42,36.34,13.51,32.63,.2,47.05,52.87,71.25,.23,-5.69,95.54,200,110.86,1.2,0,0,,0,102.53677,95.54,97.37192,.057,.74,.37,127.5,170,0,0,.17,.06,.25,.13,61.719,NSDQ,
CAPITAL BNK FIN,CBF,38.84,155.35,8.01,4623.24023,.05033,1.87419,.07223,14.44,.11,2.22,4802.04003,5269.93017,66.20999,74.33,-54.6,22.04999,346.72,33.41,1112.78002,0,234.83,.69,,2.3,0,1.4,80,0,149,11,0,20,0,0,-2.34,18.67,22.99,24.51,73.8,294.64999,,-2.44,0,-3.44,0,-.34,147.31343,,.73,,3.72,4.32,,10,-4.14,1.25,-1.85,18.87,.26,23.035,25.7,60.98,-1.9,-4.97,-24.24,-24.53,25.25,1.23,0,0,,,-19.03577,-24.24,-23.07388,.04754,1,.69,98.46,116.36,-4.46,-5.19,.25,.07,.27,.11,-86.365,NSDQ,
CLEVELAND BIOLB,CBLI,-17.26001,0,0,.44999,.48396,,12.859,-198.13,-2.03,2.91,11.14999,5.98,-20.12001,-20.12001,-19.65,0,8.49,.08,1.58,0,7.1275,5.5,,,0,3,0,0,,,0,100,0,,,,,,,,-20.78,137.69,,,0,1.67,,-121.38301,-95.89,-187.568,-189.09,-472.22,,,-64.41,-63.24,-23.2,.43,,.4301,1.79,.01,-8.27,-13.46,59.83,37.14,,,0,0,,0,,59.83,5.32089,,,-.47,,,,,-.05,,,,-19.657,NSDQ,
CAPE BANCORP,CBNJ,5.55,22.87,1.80999,783.35998,.04429,.84549,.06202,13.55,.12,2.49,819.21997,798.52001,9.77999,12.07999,14.13,2.98,47.01,11.87,140.41999,0,143.92999,.85,16.06,,0,2,50,0,205,17,0,50,0,,0,15.58,14.9,17.47,10.211,42.81399,-1.91,-8.76,0,0,0,.68,119.75685,-.08332,.6,-.11006,2.43,4.63,19.82,,-2.94,-.3,-2.41,8.97,.17,10.13,11.13,53.7,-1.17,-5.59,15.55,12.2,47.83,.65,.20999,2.37,,.59,19.27616,15.55,21.97802,,.68,.54,89.47,106.25,0,0,.16,,.17,,7.60099,NSDQ,
CHICOPEE BANCRP,CBNK,2.54999,0,.07,487.22,.04278,11.49199,.05325,-.61,.1,3.5,506.20999,450.5,3.24,3.95,4.88999,3.63,26.17,16.67,92.23,0,44.99,.99,25.51,,0,3,0,0,186,49,0,100,0,,0,32.9,205.63,,5.55999,21.98999,-.99,-4.56,0,0,0,.25,89.4551,.13977,-.03,.6775,-.12,-.17,77.99,,-9.43,-5.51,-4.91,16.36,.11,16.45,19.72,2.68,-.3,-1.79,-105.33,4.17,-84,.5,.2,1.7,,.39,-86.14311,-105.33,3.65853,,.08,.5,-1100,100,0,0,.1,,.15,,3.493,NSDQ,
CBOE HOLDINGS,CBOE,175.99,45.93,0,80.79,1.3614,,7.70289,31.26,.31,7.36,308.85998,107.44999,283.64999,283.64999,318.25,0,572.05,3.31,284.51,0,0,15,20.44,1.63,0,2.44,33.33,0,,,0,66.67,0,-2.52,-2.72,19.66,22.71,24.01,147.65199,602.55798,7.97,11.65,-4.37,-3.27,0,.57,474.90722,38.74,42.56,66.303,60.87,60.87,18.78,13.95,-10.69,-4.33,-2.47,45.02,.54,49.71,58.61,34.51,2.01,2.58,3.48,20.12,7.83,2.53,.66,1.45,20.559,1.56,10.00237,3.48,11.81778,.03193,2.19,1.97,107.5,114.36,-2.17,-1.83,.51,.05,.56,.08,212.04699,NSDQ,
