Company Name,Ticker,% Ratio of Q1/Q0,% Change Q1 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Previous EPS Surprise (%),Last EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,% Change Q2 Est. (4 weeks),% Change Q0 Est. (4 weeks),F1 Consensus Est.,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Last Reported Fiscal Yr ,12 Mo Trailing EPS,% Rating Strong Buy or Buy,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Beta,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Relative Price Change,Avg Volume,Market Cap ,Last Close,Average Target Price,% Rating Downgrades ,Earnings ESP (Expected Surprise Prediction),Current Avg Broker Rec,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Upgrades ,Shares Outstanding ,Debt/Total Capital,Inventory ,Receivables ,Current Liabilities ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Intangibles,Current Assets ,Q(1) Consensus Sales Est. (Mil.),Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Long Term Debt ,Preferred Equity,Sales Growth F(0)/F(-1),Common Equity,F(1) Consensus Sales Est. (Mil.),Book Value,Div. Yield %,Annual Sales,Current ROE (TTM),Price/Sales,Price/Book,Price/Cash Flow,P/E (F2),PEG Ratio,P/E (F1),P/E (Trailing 12 Months),5 Yr Historical Sales Growth,St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),Cost of Goods Sold,EBITDA ,EBIT ,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,Market Value/# Analysts,ROA (5 Yr Avg),% Ratio of Q1/prior Yr Q1 Actual Q(-3),Exchange,# of Analysts in Q0 Consensus,
CHINACACHE INTL,CCIH,,,,,,900,-300,,.03999,.04,20140301,-.22,,,,,-120,36.2,,,-.04,,,,,,20131231,-.12,,27.36,4.46,38.25,1.71,1.77,.92,-8.07,48.37,45.79,257102,335.3,13.22,,,,,,,,,,,,,,25.36,0,0,50.58,84.55999,.99502,,3.46609,-1.38,-.03,0,,0,9.28999,129.96,,,1.58,1.54,.93874,0,0,39.53,107.88999,,5.25,0,182.24,-2.36,1.72,2.52,66.03,,,,,44.28,,,-2.36,-2.8693,-1.38,124.98,5.34999,-4.85,,36.2,-107.72059,5.078,-5.65001,-5.44001,,-1.25951,,NSDQ,1,
CABOT MICROELEC,CCMP,115.09,-4.69,-4.17,-8.52,0,17.95,-14.52,-.53,.52999,.53,20140601,2.11,-7.94,5.08,2.07,-1.9,8.21,11.28,13,11.12,.62,.61,,.58,,2.07,20130930,2.14,66.67,47.73,36,48.17,1.04,3.63,-7.11,.6,-8.86,-13.44,197646.45,1004.39,41.65,49.33,0,0,2,0,0,60,32,0,0,0,33.33,0,24.11,31.32099,63.77999,54.63999,67.5,.74272,3.22399,7.89169,12.47,.12,0,,0,56.72999,365.70999,111,.46,8.49,4.47,3.66355,150.92999,0,1.28,327.07,419.29998,15.12,0,433.13,14.97,2.37,2.76,13.73,16.86,1.55,20.12,19.46,4.61,,2.47,10.47,9.3203,9.26,221.00999,98.30999,77.86,21.95482,11.28,25.86967,70.647,51.38,74.22,1004.38977,8.3477,87.14,NSDQ,1,
CNB FINL CP PA,CCNE,92.31,2.86,3.57,2,,9.09,14.71,19.84,.38999,.39,20140601,1.29,0,0,1.45,12.4,-6.52,28.74,,8.37,.34,.36,,.36,,1.23,20131231,1.48,100,20.45,15.93,15.49,1.01,.6,-3.09,4.2,-12.47,-15.84,19122.2,240.55,16.63,19.5,0,0,1,0,0,183,2,0,0,0,0,0,14.47,35.90499,.47999,1305.16003,1870.75,.04642,25.25799,.07805,21.68,.2,.66,0,4.23,32.68,1335.56005,22.29,,.72,.71,.01599,95.62,0,5.57,164.91,89.41999,11.91,3.97,85.18,13.13,2.55,1.4,10.47,10.87,,11.47,11.24,7.86,,1.53,7.64,6.25419,1.01,7.98999,33.4,27.21999,2.70396,28.74,-2.68535,22.85899,16.67,23.01,240.55294,.93343,90,NSDQ,1,
COGENT COMM HLD,CCOI,252.38,0,0,0,0,-100,-25,-28.39,.02999,.03,20140601,.16,0,0,.23,45.14,277.78,3407.76,17,33.91,.04,.08,.54,.1,.37,.14,20131231,.15,44.44,43.08,28.85,33.94,1.08,-2.97,-1.46,-9.14,-16.65,-20.24,385601.94,1572.86,33.68,36.33,0,0,2.44,22.22,-6.28,86,9,0,0,0,33.33,0,46.7,71.01499,0,30.62,143.69,.51019,,11.91699,2.01,.16,.54,,.61,0,354.26998,98.111,,2.25,2.47,2.25241,397.94,0,9.78,193.49,387.85101,3.44,2.02,347.98,3.96,4.31,9.78,20.49,59.22,8.53,145.03,224.53,10.3,.45917,.57,1.31,-.69678,.93,150.22,119.20999,48.77,3236.27783,3407.76,1433.64709,77.829,56.68,6.98,174.76177,-.61791,151.43,NSDQ,8,
CROSS COUNTRY,CCRN,325,8.33,0,2.17,0,,200,,.00999,.01,20140601,.08,0,0,.05,-43.75,132,-102.8,10,-90.39,-.01,.03,.63,.04,.35,.02,20131231,.03,25,11.35,5.3,32.4,1.25,.97,13.08,30.34,-27.25,-29.3,157635.95,225.86,7.26,8.17,0,-33.33,2.5,0,0,,,0,0,0,75,0,31.11,.08727,0,65.16999,44.9,1.6864,,6.4812,.04,-.12,0,,0,145.75999,83.93,126.04299,,1.7,1.87,.41781,.09,0,-.98,160.66,523.63299,5.16,0,438.31,.69,.49,1.41,25.46,30.89,16.13,161.33,242,-5.94,1.15471,.23,.1,.55374,.47,324.85,-2.78,-9.19,-33.1777,-102.8,-23.06963,8.86499,-51.96,-10.03,56.46465,.49788,65,NSDQ,4,
CONCURRENT NEW,CCUR,,,,,,22.22,0,,.11999,.12,20140301,.31,,,,,191.18,143.38,,,.09,,,,,,20140630,.41,,8.88,6.78,26.67,.41,-1.48,-.41,-8.25,-10.16,-11.97,21068.35,67.98,7.34,,,,,,,,,,,,,,9.26,0,2.83999,10.69999,16.04999,1.44079,9.0444,5.43289,5.38,,.47999,,2.1,.82999,43.79,,,2.56,,,0,0,5.22,25.78,,2.81,6.54,63.44,14.21,1,2.61,11.58,,,,17.9,0,,,14.21,-.89113,7.75,26.6,7.82,4.67,,143.38,247.22221,5.84999,4.23999,4.61,,-.53176,,NSDQ,1,
CHEMOCENTRYX,CCXI,103.57,-7.41,-7.83,-3.58,,-12.5,-3.7,1.88,-.28001,-.28,20140601,-.95,-3.57,-5.88,-1.13,-18.42,15.93,-7.99,,,-.27,-.29,,-.29,,-.96,20131231,-.99,50,13.5,4.67,6,1.18,-5.45,-7.14,3.17,-10.19,-11.73,98445.95,224.91,5.2,9.5,0,0,2,0,0,10,42,0,0,0,50,0,43.25,0,0,.38999,6.86999,.04072,,8.84669,-638.17,-6.38,0,,,0,134.3,1,,18.88,19.55,19.49199,.00999,0,11.83,145.3,2,3.18,0,6.06,-29.46,37.11,1.64,,,,,,,-.00629,-1.21,-26.84,-24.007,-28.09,0,-38.05,-38.62,2.39518,-7.99,3.05841,-38.10301,-38.67,-38.67,112.45519,-21.99901,131.82,NSDQ,1,
CADENCE DESIGN,CDNS,86.28,-18.52,-18.46,-8.3,-11.44,33.33,41.67,43.75,.17,.17,20140601,.76,-15.71,0,.53,-30.26,24.59,-71.22,13.28,24.5,.12,.15,.08,.2,.23,.57,20131231,.72,87.5,17.56,12.59,84.91,1.46,-.12,-1.58,8.1,19.9,16.75,3766337.25,4866.7,16.81,19.38,0,0,1.5,0,-31.25,32,23,0,0,0,12.5,0,289.51,0,50.22,107.62,1148.20996,.58301,4.1956,14.369,14.04,.11,0,,0,768.59002,1221.08996,396.79998,0,1,1.02,.926,0,0,10.08,1156.09997,1584.19995,4.35,0,1460.12,17.83,3.24,3.86,13.97,22.82,2.39,31.72,23.35,14.78,.11476,.74,17.83,13.56099,8.19,200.19999,320.26,196.57,-75.64812,-71.22,-62.66764,346.263,164.24,158.99,1622.23205,5.38119,81.48,NSDQ,3,
CLEAN DIESEL,CDTI,115,0,0,0,,33.33,33.33,-48.34,-.10001,-.1,20140601,-.73,0,0,-.75,-2.74,40.16,-6.17,,,-.15,-.12,-.8,-.11,-1.16,-.65,20131231,-.54,100,6.33,1.33,15.6,1.54,-8.66,-15.26,-14.23,40.67,41.32,226901.34,26.06,2.11,3.88,0,,1,0,0,143,3,0,0,0,0,0,12.35,61.31399,5.90999,5.51999,14.68,1.84759,5.9303,8.95279,-9.95,-.13,0,,0,9.36999,16.80999,13.3,,1.1,.74,.36648,7.53999,0,-8.6,5.44,52.7,.51,0,55.3,-84.99,.48,4.11,,,,,,134.58,-.37713,-.43,-43.67,-65.31401,-18.37,39.88,-3.67001,-5.02,2.22222,-6.17,26.60455,-4.67001,-7.09001,-6.42001,13.03241,-31.73501,95.83,NSDQ,2,
CDW CORP,CDW,92.82,-4.74,-.6,-1.21,1.31,12.2,10.17,29.45,.64999,.65,20140601,1.82,-5.95,3.65,2.22,22.16,80.2,25.19,11.6,,.59,.6,.04,.53,.06,1.7,20131231,2.13,66.67,32.5,20.66,86.06,.88,-.13,-3.26,3.84,32.06,26.96,464582.94,5307.16,30.85,34.83,0,0,1.78,0,-6.67,37,13,0,0,0,33.33,0,172.03,80.705,382,1597.30004,1402.59997,1.9024,28.857,7.0433,3.25,.01,.0425,,,3548.30004,2213.5,3099.2041,,1.58,1.31,.16697,3205.80004,0,6.32,711.70001,11774.60156,4.39,.55,10768.6,51.97,.47,7.03,10.08,12.64,1.2,13.88,14.48,,.00519,2.44,9.42,,6.18,9008.2998,662.59997,445.6,6.36549,25.19,11.59664,526.00897,132.8,195.5,1769.05224,,123.13,NSDQ,3,
CODEXIS INC,CDXS,,,,,,,20,,-.22,-.22,20140601,-1.08,,,,,-28.57,15.34,,,-.3,,,,,,20131231,-.89,,2.38,1.25,78.14,1.51,1.57,50.21,50.21,52.36,45.19,630383.06,82.46,2.133,,,,,,,,,,,,,,38.66,0,1.48,5.40999,11.18999,.42855,6.56689,7.54899,-138.3,-1.29,0,,0,12.8,35.77999,,,2.62,3.07,2.58176,0,0,-63.85,41.47999,,.95,0,31.92,-78.95,3.04,2.24,,,,,,-22.53,,,-80.8,-47.389,-56.17,14.55,-30.73,-41.09001,-15.35665,15.34,-33.87358,-30.94301,-41.3,-41.39,,-28.133,,NSDQ,1,
CECO ENVIRNMNTL,CECE,102.4,-.78,-1.4,-.87,0,-17.39,-3.85,4.46,.25,.25,20140601,.98,-1.39,0,.98,.41,50.77,-23.77,18,75.57,.26,.26,.08,.28,.03,.91,20131231,.94,50,18.83,11.86,22.24,1.23,-1.25,-10.6,1.13,-16.98,-18.5,80450.95,345.55,13.41,17.75,0,0,2,0,0,146,8,.14,0,0,50,0,25.77,30.45499,25.37,44.36,59.33,.762,7.27769,5.59969,10.09,.03,.2,33.33499,.9,197.44999,124.76999,69.23,,2.33,1.68,.92769,79.16,0,46.1,170.39999,270.596,6.71,1.79,197.32,13.65,1.43,2,12.71,11.83,.76,13.63,14.27,2.42,.055,1.13,10.81,11.097,6.72,135.75999,14.57999,7.94,-33.07909,-23.77,-39.63134,26.99699,6.55,6.44999,69.10977,7.4503,106.67,NSDQ,5,
CAREER EDU CORP,CECO,100,0,0,1.12,0,-82.05,20,-11.69,-.40001,-.4,20140601,-1.41,0,0,-1.99,-41.13,-220.45,-57.46,9,-19.82,-.5,-.4,-.35,-.21,-.59,-1.49,20131231,-2.05,25,7.81,2.55,51.19,2.59,2.54,11.97,8.49,-8.07,-14.24,505738,352.25,5.24,6,0,,3,25,0,157,19,0,0,0,50,0,67.22,0,6.73999,62.09,207.42999,1.17569,48.553,14.41899,-13.54,-.16,0,,0,127.47,460.01,226.38999,,1.93,2.19,1.88584,0,0,-29,455.38,935.82501,5.93,0,1057.36,-32.35,.36,.88,217.21,,,,,-11.08,-.06175,-.66,-29.31,7.64099,-17.16,406.27999,-124.15001,-219.99001,1.36712,-57.46,-15.03607,1.62,-164.26,-221.34,117.41616,4.93389,61.54,NSDQ,3,
CELGENE CORP,CELG,102.08,-.41,-.26,.61,-.27,2.1,3.9,.6,.8,.8,20140601,2.68,-.38,0,3.17,18.47,19.11,-5.54,25.25,31.39,.77,.82,.04,.87,.04,2.7,20131231,2.89,80.95,90.19,66.22,84.65,1.07,-.73,-1.5,16.24,2.4,-2.36,4442549.5,69165.61,86.51,94.85,0,0,1.43,0,-2.68,12,113,.03,0,0,19.05,0,799.51,58.159,340.39999,1061.40002,1945.5,.50858,1.06939,6.4647,34.81,.22,0,,0,4880.8999,7550.5,1944.97302,1.39,5.44,3.71,3.16047,4196.5,0,17.93,5589.8999,7580.77392,6.06,0,6493.9,47.03,9.83,14.28,26.55,19.53,1.08,27.25,29.93,23.56,.00222,4.43,24.35,23.236,17.7,340.39999,2131.10009,1757,-6.58842,-5.54,-.43263,2684.86303,1449.90002,1665.40002,34582.80468,17.17399,117.51,NSDQ,3,
CHEMBIO DIAGNOS,CEMI,33.33,0,0,0,0,0,0,-39.58,-.02,-.02,20140601,.06,0,0,-.06,-194.45,-45.45,-69.57,25,-31.01,-.02,-.01,-3.46,0,-8.66,.14,20131231,0,100,4.48,2.87,33.54,.01,2.4,2.4,9.64,1.19,.24,22718.45,32.61,3.41,7,0,,1,0,0,22,7,0,0,0,0,0,9.56,0,3.18,4.59,4.3,1.19799,4.67969,6.61709,-.04,.02,0,,0,.31999,18.53,6.94329,,5.27,3.57,2.50232,0,0,15.38,20.17,26.37999,2.16,0,29.55,.41,1.06,1.58,28.11,53.84,,,,21.68,-.87051,.06,-.05,16.95,.35,17.23999,1.61029,1.0103,-101.33172,-69.57,-43.61703,1.131,.52999,1.00999,10.87108,11.152,-9.52,NSDQ,3,
CEMPRA INC,CEMP,120.41,1.67,2.9,4.52,,-6.25,10.91,-16.54,-.49001,-.49,20140601,-1.53,.75,3.77,-2.16,-41.31,-24.39,-144.67,,,-.55,-.59,-.09,-.55,-.03,-1.42,20131231,-1.92,100,14.92,7.82,28.73,1.15,7.17,5.91,13.99,-20.42,-28.05,166198.09,327.36,9.86,17.4,0,0,1,0,0,10,2,0,0,0,0,0,33.2,31.152,0,1.62,10.85999,.08903,,4.66009,-776.61,-5.76,0,,,0,98.52999,1.79449,.45,6.55,9.07,8.92357,12.52999,0,,69.97,10.484,1.18,0,7.81,-102.66,39.8,8.39,,,,,,,-.02105,-1.8,-83.11,-119.06,-69.15,0,-42.21,-42.90001,-64.5694,-144.67,-85.92074,-44.34501,-45.03,-45.03,65.47236,-93.642,143.9,NSDQ,3,
CENTRAL GARDEN,CENT,-76.79,0,0,0,0,-8.51,-12.5,-9.92,.28,.28,20140601,.12,0,0,.28,129.17,-72.73,-191.64,10,-34.93,.32,-.22,-.23,-.23,-.06,.25,20130930,.14,0,9.58,6.08,80.29,1.5,-3.26,1.6,17.44,29.4,24.27,55922.05,448.46,8.89,6,0,,3,0,0,116,10,0,0,0,100,0,50.44,52.888,391.92999,194.25999,182.32,1.36329,2.92079,7.32189,.43,0,0,,0,285.61999,672.65002,373.64999,,3.64,1.54,.47422,472.44,0,-2.73,470.01998,1648.34997,9.64,0,1653.63,1.48,.28,.92,9.42,17.78,3.23,32.33,63.5,1.55,.12856,.5,.73,3.4892,.58,1189.72998,80.29,39.61999,-103.41903,-191.64,-109.06944,46.45,-1.92,-3.49001,224.22802,2.8222,69.35,NSDQ,2,
CENTRAL GARDN-A,CENTA,,,,,,,,,.28,.28,20140601,.12,,,,,-72.73,-191.64,,-36.58,-.15,,,,,.27,20130930,.14,,9.58,6.04,86.44,1.46,-2.47,2.94,17.27,34.82,29.49,183198.41,459.05,9.1,,,,,,,,,,,,,,50.44,52.888,391.92999,194.25999,182.32,1.36329,2.92079,7.32189,.43,0,0,,0,285.61999,672.65002,,,3.64,1.54,.47422,472.44,0,-2.73,470.01998,,9.83,0,1653.63,1.48,.29,.93,9.64,,,,65,1.55,,,.73,3.3169,.58,1189.72998,80.29,39.61999,-103.41903,-191.64,-109.06944,46.45,-1.92,-3.49001,,2.68239,,NSDQ,1,
CENTURY ALUM CO,CENX,199.2,13.06,39.13,31.4,0,-64.29,23.53,-9.81,.20999,.21,20140601,-.71,18.51,-10.59,.97,236.38,-10.94,58.14,7,,.17,.42,.19,.52,.3,-.78,20131231,-.56,33.33,20.97,7.76,97.43,2.3,9.73,22.8,50.36,97.23,90.26,1014175.63,1831.7,20.63,23.5,0,4.76,2.33,0,0,85,15,0,0,0,66.67,0,88.79,19.731,239.61,99.76999,247.75999,.92921,6.6852,17.5,-2.78,-.03,0,,0,0,471.05999,477.92999,.25,2.16,.93,.53148,246.52,.001,14.32,1002.80902,1843.97998,11.3,0,1454.31,-4.73,1.09,1.83,,10.86,3.04,21.3,,9.56,.21026,1.9,-3.77,-1.82121,-2.59,1414.79003,19.45999,-16.75,-221.74161,58.14,-13.19855,-27.24301,-40.31001,-39.84001,305.28274,-1.15621,-134.95,NSDQ,5,
CERES INC,CERE,152.94,0,-1.12,-2.17,,14.71,46.88,,-.17001,-.17,20140501,-1.31,,0,-.91,30.92,39.91,4.14,,,-.32,-.26,,,,-1.32,20130831,-1.08,100,2.1,.52,4.09,.08,-9.75,-15.62,7.16,-57.81,-56.51,323681.09,28.06,.5822,3,0,,1,0,0,75,3,0,0,0,0,0,48.19,.08949,.01999,.94999,3.99,.0906,710,3.85929,-1029.31,-6.2,0,,,0,32.43,,0,7.78,8.12,7.88471,.07999,0,-2.38,33,1.26499,.69,0,5.24,-109.07,9.47,.84,,,,,,-24.18,-.53912,-.47,-108.87,-231.213,-93.26,6.23999,-30.56,-32.47001,-3.83508,4.14,-10.54063,-30.601,-32.51,-32.51,14.02927,-103.68801,89.66,NSDQ,1,
CERNER CORP,CERN,105.74,-.32,-.41,-.41,-.17,0,2.78,2.16,.37,.37,20140601,1.32,-2.25,0,1.53,16.29,16.81,-2.23,16.99,23.58,.36,.39,.02,.43,.03,1.3,20131231,1.4,66.67,62.45,46.06,58.45,.61,.8,8.59,9.81,-.18,-4.49,2279154,19105.22,55.64,60.89,0,0,1.9,4.76,4.76,72,9,-.05,0,0,28.57,0,343.37,2.8631,32.29,582.91998,640.42999,.76498,18.36499,5.51609,13.67,.14,0,,0,451.54998,1761.69995,852.82202,.03,2.83,2.7,1.79018,111.70999,0,9.2,3167.65991,3391.13305,9.49,0,2910.75,13.55,6.05,5.86,26.17,30.81,2.13,36.25,39.74,15.71,.01101,1.81,13.1,13.375,10.46,514.71997,851.58001,588.04998,-2.56043,-2.23,.28195,729.96197,398.35,588.04998,2388.15234,10.751,118.56,NSDQ,7,
CERUS CORP,CERS,90.63,-31.82,-20.65,-70.93,,55.56,-23.08,-2.44,-.16,-.16,20140601,-.42,-18.18,-11.43,-.56,-32.14,-13.51,-54.28,,,-.13,-.15,-.05,-.13,0,-.6,20131231,-.43,100,7.95,3.5,4.72,2.09,5.4,-7.71,-5.36,-42.48,-43.87,632516.38,269.02,3.71,7.5,0,0,1,0,0,22,15,0,0,0,0,0,72.51,0,13.06,6.11999,39.41999,.46062,1.73979,6.0134,-48.63,-1.09,0,,0,2.66,78.15,9.93,,2.46,1.65,1.49594,0,0,8.07,42.79,38.36999,.62,0,39.66,-42.89,7.42,5.97,,,,,,20.7,-.01275,-.49,-42.89,-78.298,-22.4,22.6,-42.04001,-42.59001,-92.15462,-54.28,-172.34446,-27.68701,-43.33001,-43.11001,134.51161,-42.90001,131.82,NSDQ,2,
CERULEAN PHARMA,CERU,,0,0,0,,,-5.11,,-3.70001,-3.7,20140301,-2.14,0,0,-4.29,-100.47,,,,,-.36,-.33,-.89,-.41,-.82,,20131231,,100,7.27,3.59,0,,-10.92,-35.89,-44.43,,,16443.3,72.24,3.59,13,0,,1,0,0,10,13,0,0,0,0,0,20.12,,0,.94999,15.14,,,,,-2856.67,0,,,0,6.44,,,.48,.43,.36261,3.11999,0,-99.03,-94.29001,,,0,.01,,,,,,,,,,,-1.65,,,,0,-15.47001,-15.66,,,22.44344,-16.953,-17.14,-17.14,72.24156,,,NSDQ,2,
CENTL EUR MEDIA,CETV,,,,,,33.33,-147.83,,-.31001,-.31,20140601,-1.19,,,,,-600,66.13,,,.23,,,,,-.48,20131231,-.71,0,6.47,2.12,5.98,2.47,-9.16,-8.81,-10.86,-38.02,-41.52,488333.16,321.64,2.38,3.25,0,,3,0,0,,,0,0,0,100,0,135.14,59.37799,0,184.57,316.01,.36594,,4.37869,-14.05,-.4,0,,0,1298.35998,451.04998,,1.46,1.48,1.43,.84326,963.02001,0,-10.5,441,746,4.18,0,691.03,-20.59,.44,.57,.94,,,,,-.64,,,-7.22,-4.28551,-5.14,625.65002,303.26998,-186.69001,65.54122,66.13,48.16868,340.57501,-277.65,-298.54999,,-3.5082,,NSDQ,1,
CEVA INC,CEVA,-88.89,14.29,-54.84,-37.74,-10.76,40,28.57,,-.06,-.06,20140601,.3,-71.43,,.09,-68.89,-47.37,-64.63,14.93,-2.96,0,.05,.29,.02,3.12,.26,20131231,.16,33.33,18.77,13.71,13.64,.79,1.19,-6.68,1.84,-5.39,-9.44,83726.25,302.2,14.4,16.25,0,0,2.67,16.67,0,60,45,0,0,0,50,0,20.99,0,0,5.61999,14.17,.22222,,8.18869,7.34,.14,0,,0,36.49,145.61,13.029,,11.68,10.28,9.87932,0,0,-8.9,190.88999,49.178,8.64,0,48.9,1.8,6.45,1.67,35.75,65.45,10.33,154.29,90,5.44,.75255,.22,1.8,6.25759,1.63,5.15999,9.64,7.46999,-33.87449,-64.63,-51.1696,8.85499,6.67999,7.46999,100.73279,5.67689,-533.33,NSDQ,3,
CAPITOL FEDL FN,CFFN,102.38,2.38,1.25,2.98,0,7.69,0,-2.08,.14,.14,20140601,.48,3.7,0,.54,12.5,2.13,3.53,5,5.51,.14,.14,.04,.14,.07,.49,20130930,.51,0,13.17,11.7,18.37,.55,2.31,.25,.34,-1.16,-4.8,585327.75,1713.16,11.97,12.5,0,7.14,3,0,0,205,35,0,0,0,100,0,143.12,64.55999,0,5982.45996,4700.33984,.03401,,.0515,23.63,.22,.3,-23.88101,3.84,0,6096.35009,52.10499,1.86,1.32,1.3,.02423,2833.53002,0,-8.64,1632.11999,205.11,10.54,2.51,321.84,4.72,5.51,1.14,19.4,20.76,4.43,22.17,23.47,-7.45,.01851,.58,1.67,1.54519,.81,36.81,211.22999,189.13,-.22059,3.53,-6.93868,91.235,69.33999,105.55999,571.05279,.76182,130.3,NSDQ,3,
CARDINAL FINL,CFNL,96.77,7.14,8.24,2.21,,-40.91,40.91,-15.39,.31,.31,20140601,1.13,-.59,0,.99,-12.83,-25.17,-52.22,,27.15,.22,.3,.09,.28,.15,.91,20131231,.78,33.33,18.91,16.13,58.99,1.14,.62,-2.42,8.75,-1.22,-5.2,79549.4,567.96,17.77,19.38,0,3.33,2.67,0,0,148,50,0,0,0,66.67,0,31.96,54.46799,373.98999,2044.28002,2090.3601,.03682,.03119,.05106,22.01,.18,.23,48.658,1.11,10.14,2451.37011,37.84899,1.2,1.14,.99,.01583,475.23001,0,-19.29,320.52999,148.304,11.3,1.8,144.02,7.27,5.09,1.57,13.94,14.39,,18.04,22.78,7.22,.06757,1.24,3.28,3.8852,.81,13.01,49.75999,46.43,-49.53597,-52.22,-43.67411,38.59899,25.51,37.68,94.66079,1.03719,272.73,NSDQ,6,
CARLYLE GROUP,CG,63.93,-11.39,3,-3.65,-45.7,-13.27,10.61,13.34,.73,.73,20140601,3.55,-7.84,26.11,2.63,-25.92,11.99,92.64,1.39,,.66,.47,.09,.63,.16,2.86,20131231,3.73,100,37.91,24.75,50.91,2.12,-5.78,-4.26,1.42,-11.71,-16.87,355162,2015.69,31.45,40,0,0,1.17,0,0,135,7,0,0,0,0,0,64.09,68.56099,0,802.09997,3025.5,.13638,,7.5205,24.77,.02,1.33,,,582.79998,4092.30004,690.60998,,1.51,1.35,1.08748,16283.40039,0,49.38,10377.40039,3218.67504,159.19,2.03,4441.2,11.98,.42,.2,1.2,12.77,8.6,11.96,8.43,,.05926,2.46,3.87,3.3931,3.38,3214,1609,1444,89.42116,92.64,412.80789,1288,104.09999,1444,671.89782,2.98219,91.5,NSDQ,3,
COMPUGEN LTD,CGEN,171.43,0,0,0,,63.64,30,,-.07001,-.07,20140601,-.36,0,0,-.42,-16.67,5.26,22.29,,,-.1,-.12,,-.15,,,20131231,-.32,100,14.2,7.53,20.54,1.43,4.46,.45,9.2,-.56,-6.77,115961.05,421.92,8.9,15,0,0,1,0,0,12,18,0,0,0,0,0,47.41,0,0,1.73,7.73,.08034,,2.944,-228.39,-3.97,0,,0,0,53.20999,2.105,,17.2,6.88,6.65976,0,0,1366.53,31.87999,8.44799,2.11,0,3.55,-18.5,56.54,4.22,,,,,,,,-.43,-28.08,-46.71501,-13.23,2.5,-13.21001,-13.58,2.14235,22.29,-3.37739,-13.71301,-14.08,-13.58,421.9223,-33.22601,100,NSDQ,1,
CANCER GENETICS,CGIX,,0,0,0,0,13.95,12.9,-2.62,-.27001,-.27,20140301,-2.17,0,0,-1.41,35.02,,-432.9,40,,-.39,-.41,-.21,-.36,-.06,-2.92,20131231,-1.82,100,21,8.54,12.12,1.51,-2.8,-1.28,17.68,-27.07,-29.06,40450.9,93.29,10.05,18.25,0,,1,0,0,,,0,0,0,0,0,9.28,12.618,0,1.55999,8.60999,.21156,,4.37309,-152.13,-1.87,0,,,.4,51.88999,4.44999,,17.98,6.03,5.84552,.3,0,53.72,45.45999,14.6,4.71,0,6.61,-47.66,13.68,2.13,,,,,,,-.1003,-1.31,-44.3,,-32.19,4.92,-9.13001,-10.65,,-432.9,-85.73575,-4.01301,-12.37,-13.03,46.64707,,71.93,NSDQ,2,
COGNEX CORP,CGNX,171.27,19.2,9.33,1.81,,10.53,26.09,10.29,.28999,.29,20140601,.83,-5.75,0,1.25,50.6,6.41,28.85,,27.58,.23,.5,.24,.27,.08,.82,20131231,.96,66.67,43.11,27.28,94.63,1.29,3.12,9.14,25.89,10.69,5.21,672444.63,3669.86,42.26,43.33,0,12,1.67,0,0,73,3,0,0,0,33.33,0,86.84,0,25.69,53.00999,61.02,.53633,3.21399,6.91029,22.17,.21,0,16.93899,.92,96.41,332.04998,169.38299,0,3.62,5.02,4.15191,0,0,9.13,643.90997,479.67001,7.86,0,353.89,13.05,9.5,5.38,42.3,32.18,,33.81,44.02,14.94,.10399,1.31,13.05,10.32299,11.89,84.06999,101.5,87.87999,10.22637,28.85,8.04817,87.193,73.56999,87.87999,1223.28601,9.32349,215.94,NSDQ,3,
