Company Name,Ticker,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales,Cost of Goods Sold,EBITDA ,Price/Cash Flow,PEG Ratio,P/E (F2),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),P/E (Trailing 12 Months),EBIT ,Pretax Income ,Preferred Equity,Current Liabilities ,Long Term Debt ,Current Assets ,Intangibles,Inventory ,Receivables ,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Book Value,Asset Utilization,Inventory Turnover,Net Income ,Cash Flow ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,Rank in Industry (of ABR),% Price Change (YTD),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,Last Close,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),52 Week Low,% Price Change (12 Weeks),Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),52 Week High,Market Cap ,Last EPS Surprise (%),P/E (F1),% Rating Change - 4 Weeks,% Change F1 Est. (4 weeks),Div. Yield %,Avg Volume,Shares Outstanding ,Change in Avg Rec ,% Rating Hold,% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,St. Dev. F1 / F1 Consensus,% Change Q0 Est. (4 weeks),12 Mo Trailing EPS,Last Reported Fiscal Yr ,% Rating Upgrades ,% Rating Downgrades ,Common Equity,Average Target Price,Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,F2 Consensus Est.,Exchange,
BLUEKNIGHT EGY,BKEP,500,,1.02,,9.53,1.62709,8.81,2.70079,100.53299,194.67,0,71.18,3.09,1.53,27.84,,-57.81,178.26,1.22,21.3,,6.73,5.33,,,24.36,43.61999,32.00999,204.58999,23.57999,273.14999,24.92,9.34,0,15.39,84.691,,1.16,1.06,-6.71,.55786,,28.03,64.594,-11.18505,1.22,,2.89,,.47499,.14,15.78,11.98799,.40415,44,3.06,-3.09,-2.6,.03,51.05,8.7706,4,0,50,107,8.01,-.45,-1.33,.08,9.5,201.07,-275,32.48,0,0,6.04,9166.3,22.92,0,50,0,0,1.61,0,.15,.38,.09,.22,.41,.27,.41903,0,.36,20131231,0,0,-149.14,8,33.33,-39.59,-.07001,-.07,20140301,.64,.31,NSDQ,
BANK MUTUAL CRP,BKMU,133.33,.97,2.77,4.22,2.3,-1.01871,.52,-.25763,140.3515,105.57,8.31999,28.86,15.19,,16.99,100,30.43,53.33,27.04,,2.02,-5.98,-12.53,91.44999,23.2,23.19,21.22999,16.45,0,1766.10998,244.89999,1553.25,8.72999,1.78999,1508.98999,48.186,.93,.92,.88,6.22,.04344,2.05329,10.78999,18.426,59.85185,27.04,36.21853,2.24,-17.629,.1,.1,11.86,.06748,.02404,36,-13.98,-3.37,-2.9,1.54,14.94,6.03,3,0,0,205,5.8,-1.15,-17.65,.07,7.34,280.7,14.29,20.1,0,3.45,2.65,120435.7,46.55,0,100,0,0,4.41,,.08,0,.08,0,.23,.3,0,0,.26,20131231,0,0,283.92001,6.5,0,0,.07999,.08,20140601,.23,.35,NSDQ,
BANK OF KY FINL,BKYF,93.75,1.42,3.14,11.53,11.53,12.477,1.13,1.1957,132.36099,83.92,3.66,33.9,10.47,1.68,13.16,102.27,-1.34,8.3,17.39,8,20.94,-1.2,.59,82.30899,20.95499,12.61,28.80999,27.81999,0,1676.34997,0,1348.13,23.87,3.21,1266.05004,0,,.82,.8,24.41,.04586,.63177,19.76,24.85499,8.93054,17.39,14.52031,2.56,6.27799,.68,.24,24.74,.06734,.04704,60,-6.37,-8.98,-.14,.82,66.84,34.55,3,0,0,149,27.01,1.89,-10.36,.68,38.29,264.72,-2.94,13.42,0,-3.01,2.08,11407.3,7.66,0,100,-2.24,-4.26,-2.05,0,.68,.01,.65,.01,2.49,2.58,.00823,0,2.74,20131231,0,0,181.13,36.5,-4.76,5.88,.66,.66,20140601,2.61,2.63,NSDQ,
BALLARD PWR SYS,BLDP,20,5.21,7.85,-22.66,-22.03,-30.712,-12.63,-19.71801,524.122,61.3,44.49,-14.23,,,,33.33,66.67,50,59.61,,,40.27,3.39,79.59999,22.29999,,-19.96,-21.23,0,26.42,0,60.70999,39,14.07999,15.47,.67241,,2.95,1.76,.76,.50955,3.154,-21.70001,-12.57,50.36596,59.61,60.06037,0,,0,-.35,-24.92,3.48329,1.1794,28,162.71,-5.01,-2.21,1.99,48.31,3.98,3,0,0,83,1.27,31.35,151.51,-.03,6.88,524.12,0,,0,0,0,3154291.75,131.69,0,100,,0,0,,-.01,,0,,-.23,-.06,,0,-.13,20131231,0,0,70.25,3.88,25,18.75,-.03,-.03,20140601,-.18,-.02,NSDQ,
BUILDERS FIRSTS,BLDR,162.97,46.21,.38,147.96,4.51,-10.00501,3.1,-7.72591,145.52999,1489.89,1169.96997,69.19999,21.34,,10.07,244.45,391.67,119.35,128.67,,,39.15,21.6,1635.69299,440.18499,34.94,48.04,-41.59001,0,126.41999,353.89999,331.16,112.01999,123.62999,143.02999,96.565,,2.3,1.64,.13,2.9096,9.19839,-42.69,27.1,24.90765,128.67,30.74016,0,,0,-.03,1.07,10.19099,.5102,2,-16.69,-22.05,-9.73,2.11,14.82,5.94,1.8,60,0,167,5.39,-19.51,-20.24,.12,9.1,582.12,-50,20.14,0,-30.99,0,500030.09,98,0,40,-30.23,-22.81,-26.25,,.15,.04,.1,.1,.06,.29,.11242,0,.17,20131231,0,0,15.35999,9.83,-200,-12.5,.05999,.06,20140601,.06,.59,NSDQ,
BIOLIFE SOL INC,BLFS,,2.25,3.6,,-92.3,,-25.21,-106.39701,15.93599,8.95,5.17999,-.04,,,,,-2.27,21.46,-19.42,,,58.03,53.96,6.17999,1.36,,-.34001,-1.08001,0,1.62,10.6,1.87,0,.41999,1,0,,13.83,.9,1.18,1.3643,12.494,-1.08001,-.784,34.54545,-19.42,,0,,0,-.12,-18.48,8.1981,.27777,15,-68.47,13.25,-7.02,-.45,4.29,2.65,1,100,0,26,1.89,32.5,-69.81,-.05,19.61,31.87,-1100,,0,2.17,0,176617.25,12.03,0,0,0,0,-58.33,,-.05,,-.05,,-.19,-.23,-.03143,0,-.2,20131231,0,0,-13.27001,6,-42.86,-235.72,-.10001,-.1,20140301,-.22,-.1,NSDQ,
BRIDGELINE SFWR,BLIN,87.5,.69,.77,-20.38,-16.54,-2.20511,-12.79,-1.64951,18.555,24.51,11.52999,-1.42,,,,,-60,-2100,-225.94,,,-6.81,1.68,23.94499,6.11999,,-3.42001,-3.42001,0,6.92,5.26,6.98,25.29,0,3.19,22.548,,1.28,1.01,1.23,.67316,,-3.59,-1.08701,-281.91489,-225.94,,0,,0,-.15,-19,6.87839,.54768,9,-19.81,-4.49,1.19,1.01,13.07,.85,2,100,0,66,.76,-6.61,-23.23,-.07,1.44,18.56,-200,,0,0,0,24136.2,21.83,0,0,0,0,0,,-.07,,-.07,,-.24,-.32,,0,-.26,20130930,0,0,22.73999,1.2,25,-58.75,-.12,-.12,20140301,-.2,-.15,NSDQ,
BLACKBAUD INC,BLKB,90.63,9.8,3.2,30.57,15.12,22.93099,7.43,9.036,1694.53405,503.82,232.66,94.9,18.19,,29.14,103.57,-3.74,12.63,122.81,,5.88,12.61,12.99,545.04998,140.35,33.68,51.13,45.31999,0,356.67999,135.75,229.75999,408.04,0,66.95999,50.651,.97,.66,.64,3.57,.77524,,30.46999,92.37999,363.06991,122.81,387.21112,1.72,3.2829,.47999,.06,9.42,7.18009,.45643,14,-2.5,.74,6.25,1.25,56.39,36.71,3,50,50,34,29.87,15.01,-6.65,.23,42,1694.53,21.74,35.64,0,0,1.31,168223.91,46.16,0,0,0,0,0,,.29,,.34,,1.04,1.03,,0,1.09,20131231,0,0,161.53999,43.5,11.76,15.79,.28,.28,20140601,1.07,1.26,NSDQ,
BLOOMIN BRANDS,BLMN,61.6,4.62,.59,30.08,7.27,8.9054,4.42,5.15939,223.63592,4129.23,2491.45996,438.61999,7.29,.94,13.57,,9.91,12.12,214.7,17.01,,3.55,,4427.01904,1055.48901,18.14,247.13,172.36,0,744.5,1405.58996,484.02999,963.38,80.61,0,72.748,,.66,.54,4.24,1.3465,35.70199,208.36,334.44799,316.97018,214.7,,,,0,.05,3.28,,.54186,4,-18.41,-12.7,-3.02,2.02,0,19.59,1.23,90.91,0,156,19.59,-8.54,-21.89,.29,26.91,2460,-4.17,16.06,0,0,0,1112597.13,125.57,0,9.09,1.27,-.65,-.62,0,.15,.09,.32,.07,1.11,1.22,.01555,-.62,1.08,20131231,0,0,482.70001,27.63,3.85,2.09,.46,.46,20140301,1.11,1.44,NSDQ,
BIOLINE RX LTD,BLRX,60,1.88,,-85.02,-85.02,-86.09101,-60.36,-59.424,61.066,,0,-17.37001,,,,,48.75,33.33,16.88,,,,,,,,-17.70001,-17.70001,0,3,0,18.82999,.25,0,0,0,,11.87,6.28,.95,,,-17.70001,-17.37001,13.36269,16.88,,0,,0,,,,6.27666,23,-36.3,-15.19,-7.73,3.06,0,1.79,1,100,0,10,1.79,-8.67,-39.02,-.09,3.07,61.07,-11.11,,0,,0,84305.35,34.12,0,0,,,,,-.12,,-.12,,-.74,-.41,,,-.7,20131231,0,0,11.72,6,-11.11,-238.89,-.10001,-.1,20140301,-.8,-.47,NSDQ,
BLUEBIRD BIO,BLUE,21.13,5.6,32.25,-19.12,-19.12,,-13.11,,272.90032,20.18,0,-24.38,,,,,12.71,85.35,-16.88,,,5835.59,,24.847,6.15,,-25.32,-25.32,0,34.86999,0,211.97999,0,0,0,0,,5.93,6.08,5.96,.11326,,-25.32,-24.38101,-6.97085,-16.88,,,,0,-1.25,-115.74,,6.07915,34,59.2,-16.4,-1.71,2.6,68.46,33.4,1,100,0,12,17.53,88.81,52.41,-.45,40.71,818.7,-37.5,,0,0,0,549763.44,24.51,0,0,0,0,2.43,,-.45,-.03,-.45,-.02,-1.46,-1.76,-.01824,0,-3.17,20131231,0,0,151.66,51,-13.33,-275.47,-.44,-.44,20140301,-2.02,-1.94,NSDQ,
BANK OF MARIN,BMRC,118.06,1.42,3.48,10.34,10.14,11.16499,1.07,1.15429,66.25524,68.63,1.41999,27.01,12.44,1.28,12.87,98.84,11,-5.06,1.28,10.5,5.69,-5.83,2.3,80.748,20.173,14.32,22.54999,22.2,0,1619.32995,4.96,1429.58996,0,0,1325.81005,2.62579,,.88,.88,31.55,.04491,,14.27,21.12,-19.87647,1.28,-21.45072,1.81,6.32679,.73,.21,23.92,.06051,.06408,20,3.3,-2.37,-1.17,.67,74.87,44.82,2.2,60,0,158,39.07,4.16,-1.11,.81,46.75,265.02,6.17,13.46,0,3.98,1.78,9555.95,5.91,0,40,4.57,4.62,3.65,0,.85,.01,.86,.02,2.87,3.33,.00648,0,3.13,20131231,0,0,180.88,50.75,5.56,5.8,.86,.86,20140601,3,3.48,NSDQ,
BIOMARIN PHARMA,BMRN,138.95,6.14,14.39,-11.56,-8.84,-4.4493,-7.59,-3.81131,820.10974,548.48,95.73999,-113.02,,,,277.89,-130.14,20,-55.9,25,,9.54,13.44,743.919,173.535,,-166.06,-176.5,0,183.27,655.55999,1137.41003,217.39999,162.6,117.81999,31.176,,7.99,5.32,10.07,.29293,.62208,-176.35001,-51.76,-54.233,-55.9,-34.1614,0,,0,-.32,-26.42,4.88899,4.6761,133,-12.13,-4.29,.59,.95,21.96,61.82,1.67,66.67,0,12,55.78,8.88,-15.87,-.42,83.28,9021.21,54.76,,2.78,.43,0,1150719.75,145.93,0,33.33,-.6,-.83,5.27,0,-.53,-.11,-.58,-.15,-1.19,-1.75,-.08958,-.61,-1.11,20131231,0,0,1341.04003,84,46,21.41,-.19,-.19,20140601,-.76,-1,NSDQ,
BRYN MAWR BK CP,BMTC,104.76,1.71,3.13,12.14,6.41,5.181,1.34,1.07,134.52,126.77,2.75,49.9,11.17,,13.15,93.33,10.05,9.25,21.81,,15.92,5.9,10.97,126.08499,31.85499,14.6,39.68999,37.02999,0,1603.06994,205.63999,1623.25,56.95,1.35,1537.39001,47.686,,1.03,1.01,17.25,.0626,1.72449,24.44,35.879,15.61022,21.81,21.13092,2.99,6.2817,.68999,.19,21.44,.0844,.05271,18,-2.25,-1.44,-.61,.95,80.11,29.5,2,60,0,186,24.91,5.13,-6.42,.49,30.64,403.56,12.24,14.18,0,4.17,2.44,32523.9,13.68,0,40,1.99,3.36,3.22,,.51,.02,.51,.01,1.88,2.08,.01442,0,2.02,20131231,0,0,229.88999,34.5,8.7,7.99,.55,.55,20140601,1.89,2.24,NSDQ,
BENEFICIAL MUTL,BNCL,100,1.63,5.99,2.19,1.56,1.02779,.29,.20961,332.38034,174.5,17.84,42.06,32.21,,71.35,83.33,13.72,-19.05,-3.73,,-4.08,-11.88,-6,140.992,35.00699,72.67,22.95999,15.17,0,3660.01,250.36999,2655.84008,129.97999,0,2300.1499,28.96199,,.73,.73,8.01,.03615,,12.56999,31.67799,-11.29147,-3.73,-11.98691,0,,0,.07,8.12,.0725,.09718,7,19.78,-5.22,.15,.5,85.8,13.08,1.5,75,0,205,8.61,2.99,14.67,.04,13.82,997.14,50,67.65,0,34.88,0,65834.35,76.23,0,25,27.27,50,19.57,,.05,.2,.05,.25,.15,.19,.11945,0,.18,20131231,0,0,615.14001,13.75,-25,20.83,.05999,.06,20140601,.17,.18,NSDQ,
BNC BANCORP,BNCN,143.33,1.26,2.34,9.62,6.92,2.89219,.83,.35907,131.04266,161.48,26.18,35.43999,12.03,,11.43,98.85,42.25,26.79,35.98,,8.26,10.1,14.49,166.05499,43.701,17.64,25.17,21.29,0,2856.72998,101.5,2412.77001,34.95999,30.88999,2256.59008,26.565,,.86,.83,13.15,.05363,.86953,17.23999,29.36199,64.97607,35.98,49.55023,.55,0,.2,.11,15.45,.0762,.04385,19,-3.27,-4.33,-.12,.34,66.41,16.58,1.67,100,0,149,12.29,.48,-7.39,.25,18.75,393.13,16,16.42,0,-4.72,.3,42723.5,23.71,0,0,3.75,3.61,1.87,,.29,.16,.28,.13,.67,1.01,.0693,0,.94,20131231,0,0,271.32998,20.33,0,12.58,.28999,.29,20140601,.71,1.45,NSDQ,
BENEFITFOCUS,BNFT,,3781.7,,,,,,,483.75399,104.75,62.40999,-20.08,,,,,14.38,-333.33,,25,,28.15,,133.44299,33.311,,-28.25,-30.39,0,41.88999,20.01,106.8,2.89,0,23.65999,98.816,,2.38,2.55,.01,,,-30.36001,-21.86801,-104.16948,,,,,0,-.29,,,1.98472,36,-33.25,-17.53,-1.86,,22.41,38.54,1.5,75,0,18,27.72,34.71,-36.1,-.72,76,967.51,10.53,,0,0,0,191642.91,25.1,0,25,0,0,0,0,-.71,-.02,-.66,-.06,-1.37,-2.56,-.0221,0,,20131231,0,0,11.43,56,40.35,,-.51,-.51,20140301,-2.99,-1.91,NSDQ,
BOB EVANS FARMS,BOBE,16.09,3.04,.84,9.86,9.84,9.4461,4.56,6.1634,372.16165,1328.55,449.07,112.94,9.17,2.48,19.8,,6.48,-24.69,-41.27,10,-.01,-17.43,-4.25,1397.15502,327.01501,25.82,33.11999,31.11,0,601.84002,.82999,118.29,22.89999,25.23999,33.43999,.2148,,.2,.15,15.62,1.24749,19.079,33.68,127.89199,4207.31738,-41.27,,2.57,15.88399,1.205,.03,3.66,37.69499,.09904,29,-6.09,-6.75,2.33,.89,26.3,47.51,2.2,40,0,156,43.46,-.23,-10.09,.09,58.86,1116.48,45.24,24.79,0,-23.79,2.61,502394.41,23.5,0,60,-19.73,-84.62,-20,0,.09,.12,.39,.13,1.65,1.92,.03984,.6,1.84,20140430,0,0,385.57998,51.67,-43.4,-7.9,.61,.61,20140401,1.8,2.4,NSDQ,
BANK OF COMMRC,BOCH,133.33,1.1,2.11,8.14,3.14,3.0627,.7,.75695,86.36,40.8,3.35999,14.43,9.11,,8.68,100,0,26.83,-6.85,,2.3,-13.06,-2.98,37.4,9.5,13.77,12.43999,12.32999,19.93,746.28997,90.45999,642.64001,0,0,584.11999,47.30199,,.88,.86,5.78,.0418,,7.92999,9.925,7.01754,-6.85,-12.65549,3.17,-12.49,.11999,.19,16.2,.06735,.07841,18,10.96,.25,-.22,.57,70,6.336,2,100,0,158,5.02,-1.77,6.23,.15,6.9,86.36,6.67,12.19,0,0,1.89,13781.15,13.63,0,0,0,0,0,,.16,,.17,,.52,.52,,0,.46,20131231,0,0,81.84999,7,-73.33,-20.24,.15999,.16,20140601,.52,.73,NSDQ,
BOFI HLDG INC,BOFI,137.6,3.15,5.73,17.64,17.05,15.059,1.51,1.2731,352.98464,163.36,22.86,70.12999,32.79,,13.32,,42.23,24.03,36.77,,24.53,23.66,20.79,210.27,43.88,20.66,79.34999,68.19999,5.05999,2226.92993,5.15,2552.46997,0,76.98999,2266.67993,1.49709,,1.14,,23.65,.05358,.31648,40.29,31.07099,36.7153,36.77,,0,,0,,28.19,.06967,,9,-4.9,-.6,2.78,1.02,40.17,74.59,1.67,100,0,158,53.8,-6.72,-8.95,1.01,105.55,1058.95,6.19,13.9,16.66,0,0,265805.06,14.2,0,0,0,0,0,,1.07,.05,1.17,.11,3.77,5.37,.06543,0,3.61,20140630,0,0,263.20001,98,5.56,3.6,1.02999,1.03,20140301,2.89,5.6,NSDQ,
BOK FINL CORP,BOKF,97.01,1.49,3.47,9.79,6.1,6.87699,1.11,1.1007,763.30566,1359.84,55.56,607.08001,10.54,1.52,14.77,97.01,-5.23,-10.53,-10.85,10,14.03,-6.72,-.78,1288.06494,329.21398,15.16,491.54998,476.22,0,22438.65039,1388.15002,14120.54003,537.65002,200.53999,12741.16992,30.493,,.65,.62,44.38,.04796,.22391,316.6,432.139,-9.84937,-10.85,-14.14891,2.29,14.626,1.53999,.23,23.28,.1035,.05253,8,-.12,-1.72,1.18,.85,52.79,66.24,3,12.5,12.5,227,61.23,2.65,-4.38,1.04,70.72,4579.83,5.77,15.23,0,1.6,2.42,82313.55,69.14,0,75,-.14,.13,1.16,0,1.07,.04,1.05,.04,4.62,4.35,.03111,.83,4.37,20131231,0,0,3054.96997,69.29,11,3.11,1.1,1.1,20140601,4.59,4.48,NSDQ,
BONA FILM-ADR,BONA,,2.01,2.62,3.23,2.93,4.29879,1.58,2.8815,426.43899,149.34,82.83999,16.67,36.29,,22.63,,133.33,550,315.27,,,4.96,35.5,142.69999,32.4,61.73,10.94999,9.56999,0,178.16999,20,121.94,59.54,.31,39.4,8.9258,,.75,.68,3.38,.39651,276.59799,4.51999,11.376,389.74359,315.27,,0,,0,.03,3.98,3.3587,.46152,10,18.29,9.16,-2.16,.47,65.66,6.79,3,0,0,160,4.4,18.71,13.25,.01,8.04,426.44,100,32.33,-50,0,0,229259.25,62.8,0,100,,,0,,,,,,.12,.21,,,.11,20131231,0,0,202.85,7.05,-50,,.01999,.02,20140301,.09,.3,NSDQ,
BON-TON STORES,BONT,81.71,1.96,.07,-5.37,-.44,-.44761,-.26,-.2923,190.139,2834.06,1768.67004,159.22999,2,,10,,2800,102.33,-13.84,,,-4.86,-1.22,2850,582.09997,,64.94,-3.64001,0,413.29998,853.34002,793.07,102.8,709.72998,0,90.277,,1.99,.2,4.75,1.70899,2.27749,-3.55,94.97299,83.52667,-13.84,,1.55,0,.2,0,-.15,,.20164,5,-42.75,-15.46,-.85,4.07,2.61,9.3,3,0,0,207,9.04,-8.91,-45.19,-1.43,18.99,190.14,-4.52,16.03,0,0,2.15,262055.66,20.44,0,100,0,0,0,,-1.43,,-.08,,-.25,.58,,,-.38,20140131,0,0,127.94999,,13.01,24.04,-1.62001,-1.62,20140401,.02,.93,NSDQ,
DYNAMIC MATLS,BOOM,79.81,1.62,1.38,4.83,4.53,5.31699,3.53,4.1788,71.39324,209.57,150.05,24.14999,13.76,1.98,16.35,98.81,47.69,-37.93,-18.55,13,9.82,3.97,6.58,214.99299,55.393,33.57,11.15999,10.52,0,31.19,26.408,98.76,74.41999,41.54999,38.70999,13.50399,.18,4.36,1.83,12.36,.89993,3.391,7.48999,20.485,-35.92815,-18.55,-5.95803,.87,0,.15999,.04,4.22,5.6725,.59313,1,-5.8,-12.63,-2.66,1.65,42.42,20.48,1.5,75,0,87,17.99,-.1,-9.81,.2,23.86,285.57,5,25.68,0,-9.38,.78,33230.75,13.94,0,25,-3.45,-23.15,-5.65,0,.21,.19,.28,.22,.89,.8,.12638,0,.61,20131231,0,0,172.78999,25.25,50,-5.99,.20999,.21,20140601,.54,1.25,NSDQ,
BOSTON PRIV FIN,BPFH,106.67,1.62,2.98,11.74,6,2.46429,1.08,.48679,166.4145,339.52,13.39,133.85,10.48,,13.66,85.33,16,41.51,15.97,,56.18,.55,1.93,322.52499,79.94999,14.86,114.75,98.98999,47.75,5212.72021,473.60998,5260.62011,130.77999,6.11999,5062.62011,45.076,.85,1.02,1.01,7.69,.05197,4.0246,70.52999,95.106,32.40097,15.97,30.38744,1.05,62.54999,.23999,.21,20.78,.06672,.0368,17,-1.11,-8.71,-1.42,1.08,57.04,12.48,2,50,0,186,10.17,2.89,-5.33,.21,14.22,998.49,19.05,14.35,0,5.88,2.56,355261.34,80.01,0,50,-.79,.79,2.05,,.21,.02,.21,.05,.76,.87,.03084,0,.84,20131231,0,0,585.92999,14.17,0,7.39,.25,.25,20140601,.75,.91,NSDQ,
POPULAR INC,BPOP,129.38,.7,1.38,6.74,6.66,-7.21921,.84,-.47471,1650.4425,2559.02,137.36,505.55999,13.66,,10,90.87,18.53,6.81,-110.5,,39.74,15.37,-4.71,1913.73498,445.39999,10.74,526.51,348,50.15999,30356.39062,0,25819.10937,853.97998,110.41999,24087.26953,0,,.85,.85,45.39,.06628,.98641,599.32,241.36599,144.35111,-110.5,950.39324,0,,0,.23,12.75,.10022,.05341,38,11.03,-7.19,-6.01,2.71,74.08,31.9,2.08,75,25,149,24.07,5.84,6.3,.68,34.64,3300.89,23.53,10.72,8.19,0,0,1320132.75,103.48,-.19,0,-3.32,-3.78,-.21,,.76,.11,.78,.11,2.46,2.97,.08318,0,2.97,20131231,0,0,4575.99023,36.67,27.69,10.37,.83999,.84,20140601,2.51,3.19,NSDQ,
BIO-PATH HLDGS,BPTH,100,11.2,,-19.19,-19.19,-79.251,-18.52,-72.28,203.46299,,0,-3.1,,,,,0,-25,43.5,,,,,,,,-3.26,-3.26,0,.28999,0,3.66,0,0,0,0,,42,12.62,.2,,,-3.26,-3.106,-26.3566,43.5,,0,,0,,,,12.62069,42,-43,-22.45,-6.94,1.22,40.63,2.28,1,100,0,10,.46,-14.29,-45.43,-.01,4.94,203.46,0,,0,0,0,172089.05,89.24,0,0,0,0,0,,-.01,,.01,,-.05,-.05,,0,-.03,20131231,0,0,4.78,7,0,-25,-.01,-.01,20140301,-.05,-.01,NSDQ,
BROCADE COMM SY,BRCD,106.67,1.71,1.8,14.02,11.17,7.44049,9.13,5.8877,788.7666,2222.86,813.97998,571.03997,8.2,1.47,12.25,,4.41,38.78,103.37,8.8,16.68,-.67,3.25,2189.281,529.86901,12.79,385.72,330.45999,0,560.65997,596.20001,1422.80004,1685.68994,45.34,249.58999,20.31399,,2.94,2.46,5.38,.61321,17.093,208.61999,496.56799,6.88595,103.37,,.03,,0,.09,14.89,9.98419,2.01168,14,3.89,-3.46,-3.46,.82,61.01,9.21,2.59,29.41,5.88,201,6.66,15.27,-.54,.16,10.84,3943.83,0,12.97,0,0,1.52,3187960.75,428.21,0,64.71,0,0,0,0,.16,.04,.19,.05,.59,.71,.02634,0,.72,20131031,0,0,2346.81005,9.83,16.67,33.33,.18999,.15,20140401,.68,.75,NSDQ,
BROADCOM CORP-A,BRCM,120.78,2.58,2.72,12.73,10.91,14.09799,9.14,11.458,3197.44287,8219,4088,1387,10.84,1.5,14.5,144.41,12.3,-6.97,57.66,12.14,30.47,2.66,13.15,8319.84375,2177.56103,21.86,475,445,0,1496,1394,3915,4937,525,795,13.85599,.16,2.94,2.27,14.83,.70507,7.38609,424,2050,-41.02921,57.66,-51.58151,1.04,10.72099,.43999,.05,12.97,10.368,1.73462,3,29.06,1.4,-.1,1.11,96.47,38.26,1.65,73.33,3.33,173,24.86,28,23.56,.42,38.75,22382.1,9.52,18.22,10,12.64,1.25,6819800,585,-.08,23.33,15.35,18.32,8.26,0,.66,.01,.64,.08,1.83,2.1,.02534,0,1.75,20131231,0,0,8371,43.22,32,16,.46,.46,20140601,1.87,2.64,NSDQ,
BORDERFREE INC,BRDR,,3.57,,,,,,,418.613,110.46,75.06999,1.96,128.74,66.55,166.38,,0,,,20,,35.73,,142.08,33.11,,-.32,-.32,41.93,42.04,.00999,61.45,1.51999,0,13.77999,.00703,,4.41,1.46,3.73,,,-.65,2.598,-442.10526,,,,,0,-.01,,,1.13392,10,,-21.8,-9.52,,25.58,13.31,1.6,80,0,42,11.01,20.89,,-.06,20,418.61,11.11,1331,0,0,0,82883.7,31.45,0,20,0,0,0,0,-.05,,.14,,,.01,,0,,20131231,0,0,-13.27001,19,,,-.08,-.08,20140301,.01,.08,NSDQ,
CRAFT BREW ALLN,BREW,166.67,1.91,1.1,3.21,2.9,1.82599,2.06,1.3335,213.36,179.18,128.91,11.88,20.24,2.24,35.06,,108.33,-7.69,2659.38,20,-4.06,5.84,11.13,204.74,54.45999,59.05,3.72,3.25999,0,29.7,11.05,35.47999,30.61,16.62999,11.36999,9.0619,,1.2,.63,5.86,1.1272,8.16489,1.95,10.49699,-22.61905,2659.38,,0,,0,.01,1.83,16.88199,.25185,2,-31.67,-4.43,-1.32,.02,25.62,11.22,1,100,0,70,8.96,-.71,-34.58,.1,17.78,213.36,-150,44.88,0,0,0,38934.05,19.02,0,0,0,0,0,0,.1,,.06,,.1,.25,,0,.19,20131231,0,0,111.23,19,0,-47.92,-.01,-.01,20140301,.12,.32,NSDQ,
BROOKLINE BC,BRKL,105.13,1.01,2.83,5.88,2.48,2.67429,.68,.84318,212.524,220.21,18.77,83.70999,12.27,,15.48,97.62,2.56,-1.89,-9.83,,14.2,-5,14.44,198.908,48.66899,17.36,68.04,56.65,0,3886.48999,812.54998,4419.85986,154.77,13.36999,4313.99023,58.811,1.65,1.19,1.13,8.85,.0426,2.561,35.38,51.651,-4.73883,-9.83,-6.59244,3.68,0,.34,.16,16.08,.05253,.0238,29,-5.45,-5.05,-2.06,.78,26.06,9.03,2.67,33.33,0,205,8.66,1.8,-9.48,.13,10.08,637.57,7.69,16.93,0,0,3.77,188836.34,70.61,0,66.67,0,0,0,,.14,.04,.14,.04,.54,.53,.03903,0,.52,20131231,0,0,618.16998,10,-7.14,-5.22,.14,.14,20140601,.52,.58,NSDQ,
