Company Name,Ticker,% Ratio of Q1/Q0,% Change F1 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change Q2 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q2 Consensus Est. (next fiscal Qtr),Q1 Consensus Est. ,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Average Target Price,% Rating Upgrades ,% Rating Strong Buy or Buy,% Price Change (YTD),% Price Change (12 Weeks),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,52 Week High,52 Week Low,Last Close,Avg Volume,Market Cap ,Relative Price Change,# of Brokers in Rating,# Rating Strong Buy or Buy,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Downgrades ,# Rating Strong Sell or Sell,# Rating Hold,Shares Outstanding ,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q0 Est. (4 weeks),Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Operating Margin 12 Mo,Turnover,Net Margin,Preferred Equity,Common Equity,Book Value,% Change Q1 Est. (4 weeks),Current ROI (TTM),Current ROE (TTM),ROI (5 Yr Avg),Current Avg Broker Rec,Cash Ratio,Quick Ratio,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Dividend ,5 Yr Hist. Div. Growth %,Current ROA (TTM),Price/Sales,Price/Book,Price/Cash Flow,PEG Ratio,P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),ROA (5 Yr Avg),Market Value/# Analysts,5 Yr Div. Yield %,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,
GLASSESOFF INC,GLSO,,0,-200,,,-.03,-.03,20140301,,20131231,,,0,,,-237.5,,-6.19,,,-.03,-.03,-.03,.08,-.11,0,4,0,100,-56.82,-55.4,0,-5,,4.04,2.49,.89,.95,12932.4,54.54,-59.52,1,1,0,0,15,12,0,0,0,0,0,0,0,57.41,,0,0,.68999,1.67999,0,0,.15999,,,,,,0,1.12999,.08,0,-348.76,-348.76,-2722.28101,1,2.20289,2.43,4.59,0,0,0,,-238.28,,12.42,,,,,,1.2,4,,,-837.80103,54.541,,0,-12.05966,-6.19,4.32276,-3.3,-3.32,-3.32,-3.32,-3.3,0,.12,
GLATFELTER,GLT,694.44,-3.69,-25,-8.57,-19.51,.09,.09,20140601,1.4,20131231,1.3,-6.35,-.74,-2.33,0,21.07,12,60.24,10,17.94,.12,.67,.63,1.65,1.7,2.31,33.5,0,100,-12.05,-7.11,-1.38,-.25,1.1,6.49,31.66,23.8,24.31,190424.41,1047.01,-17.55,2,2,0,0,231,1,0,0,0,0,0,0,0,43.07,113.64,0,442.32,288.35998,586.58001,192.02,236.30999,167.83,1.1094,6.5134,3.18,9.885,.04,0,684.46997,16.08,-3.1,5.22,8.58,5.67689,1,.63268,1.21,2.05,.6,37.38999,.49,2.96429,3.53,.58,1.51,8.01,1.43,10.52,14.34,18.7,492.453,1877.84399,8.08,9.18,3.6749,523.50347,2.34,1.81,17.9013,60.24,13.10426,131.326,67.15,69.19999,87.16,156.66,1507.09997,1722.61,
GLU MOBILE INC,GLUU,-400,318.18,71.43,200,222.86,-.02,-.02,20140601,-.11,20131231,-.02,0,,,0,209.09,-37.5,19.56,15,,-.07,,.08,-.2,.12,.15,6.97,0,88.89,28.32,31.75,-33.33,-7.09,2.45,53.46,7.47,2.12,4.98,11909581,447.62,20.29,9,8,0,-22.22,180,2,0,0,0,11.11,0,0,1,89.88,-100,0,0,37.95,54.45999,25.07999,0,18.29999,1.4189,,-1.22,8.7109,-.19,0,46.68999,1.12,,-2.76,-2.76,-44.045,1.22,.95283,1.44,2.6,0,0,0,,-1.73,3.15,4.43,,2.77,33.2,41.5,,73.05699,212.80499,10.71,20.71,-16.48,447.617,0,0,24.27412,19.56,2.68949,-.005,-19.9,-22.75,-22.75,-14.47001,37.04,105.61,
CORNING INC,GLW,101.72,-2.39,0,3.33,3.47,.37,.37,20140601,1.23,20131231,1.3,-2.63,-1.73,-3.54,-3.94,18.76,-4.65,-32.9,11.09,-6.68,.37,.4,.38,1.22,1.46,1.61,21.7,0,40,14.31,-4.5,-7.07,1.24,1.7,76.69,22.33,13.92,20.37,7956412,26653.66,7.16,15,6,6.67,-2.37,88,20,0,0,0,53.33,0,1,8,1308.48,114.05,0,3272,1746,8891,1542,1270,1253,.30175,3.87669,21.43,5.9843,.25,0,21211,14.93,-8.65,7.61,9.2,11.29599,2.27,3.64719,4.36,4.53,.17,12.916,.38999,21.457,6.47,3.03,1.36,10.53,1.26,12.64,13.94,15.67,2615.06494,10143.5957,9.69,-2.41,9.4898,2221.13818,1.83,1.96,.45454,-32.9,19.86552,2799,1961,2473,2593,3595,4495,7819,
GALAXY GAMING,GLXZ,,0,-100,-100,,0,0,20140601,.01,20131231,.01,,0,0,,200,-50,-30.41,,,.01,.01,.01,.01,.03,.04,.75,0,100,50.08,-25.73,-3.95,-9.95,.62,57.81,.5,.17,.3602,4376.65,13.86,40.69,1,1,0,0,98,17,0,0,0,0,0,0,0,38.49,,0,15.64,4.3,2.38,17.89999,.28999,1.26999,.43029,.22581,6.96,7.1693,.07,0,1.26999,.04,0,3.77,48.96,-25.255,2,.19069,.49,.51,9.64,91.232,0,,3,1.52,9.3,5.41,,9.01,12.01,36.02,2.41,9.61999,32.2,13.79,-7.4575,13.86299,0,0,-31.30631,-30.41,-9.67742,2.55299,.56,.62999,1.65999,3.65,.1,8.22,
GLYCOMIMETICS,GLYC,52.56,464.71,62.5,-7.14,,.38999,.39,20140601,-8.87,20131231,,0,160,-46.91,,105.41,-2787.88,,,,.24,.14,.2,-6.23,.48,-1.43,18,0,100,,13.51,-3.3,4.91,,16.36,17,6.12,7.9,46045.6,148.46,,2,2,0,0,10,26,0,0,0,0,0,0,0,18.79,,0,0,2.26999,4.88,0,0,0,,,,,-2.65,.02999,2.86999,3.4,-43.06,-3.04,-3.04,,1,2.14977,2.15,18.69,0,0,0,,-2.79,,2.32,,,,16.46,,20,35,,-73.83,,74.23249,,0,,,-390.41095,-10.47501,-10.60001,-10.60001,-10.60001,-10.47001,0,3.99,
GENERAL MOTORS,GM,172.41,-6.16,-25.64,-6.45,-12.62,.57999,.58,20140601,3.18,20131231,2.5,0,1.96,-1.94,-.74,-12.15,-1.85,-39.97,13.4,-10.22,.78,.92,1,3.38,2.79,4.59,44.78,0,64.29,-15.83,2.29,-8.1,1.78,1.71,25.73,41.53,31.93,34.4,14225541,55167.9,-21.1,14,9,7.14,-9.51,77,5,0,0,0,28.57,0,1,4,1603.72,104.17,3.79,22025,62412,81501,7228,14039,22813,.91061,9.5422,3.31,6.3273,.03,3109,40065,24.61,-4.86,8.11,13.96,15.89099,1.88,.71539,1.08,1.27,.61,36.305,0,,3.02,.35,1.4,3.61,.92,7.49,12.31,13.76,40351.05859,157102.79687,3.08,2.04,5.4373,5015.26367,.31,3.49,-18.60099,-39.97,-13.60699,13232.31152,5346,7458,7792,15947,137373,155400,
GORDMANS STORES,GMAN,,0,-50,27.27,18.35,.00999,.01,20140401,.41,20140131,.26,,0,0,0,-101.22,-66.12,-78.67,15,-30.9,-.16,.16,.03,.39,-.01,.2,6.67,0,40,-59.06,-30.22,-10.54,-13.02,1.4,0,14.18,3.14,3.14,46358.8,61.4,-61.62,5,2,0,0,185,10,0,0,0,60,0,0,3,19.56,60,0,44.43,79.12,122.91999,1.89999,94.70999,11.27999,2.70639,3.3968,.79,50.583,.01,0,41.79999,2.11,0,5.53,8.74,30.913,2.2,.21397,.36,1.37,,51.941,0,,2.15,.1,1.49,3.32,,15.7,,12.08,159.66499,659.39697,6.92,1.95,12.328,15.35074,0,0,,-78.67,-65.95836,18.353,8.01,12.31,14.78999,25.12999,365.45999,619.56,
KEURIG GREEN MT,GMCR,76.77,.27,13.79,13.68,13.9,.99,.99,20140601,3.39,20130930,3.92,0,-2.55,-.37,-4.41,12.14,41.25,29.96,16.25,67,.87,.99,.76,3.24,3.8,3.99,122.5,0,46.15,52.36,.93,-4.68,-.29,.37,83.8,126.09,58.18,115.09,1677859.38,18729.29,42.82,13,6,7.69,4.51,177,11,0,0,0,46.15,0,1,6,162.74,85.39,-.29,236.27999,597.05999,1521.48999,1223.40002,676.08001,479.72,1.1088,5.04269,13.49,9.7797,.11,0,2635.57006,21.03,-11.5,18.98,20.61,13.96,2.31,.61248,1.42,3.43,.07,7.2262,0,,14.96,4.11,5.47,23.01,1.86,28.84,30.27,29.36,1154.531,4669.78906,46.56,12.93,10.873,2675.61254,.06,.87,34.14521,29.96,33.26071,753.87799,483.23001,740.86999,759.03997,995.34997,2738.70996,4358.1,
GAMESTOP CORP,GME,,.52,3.51,-1.04,31.87,.58999,.59,20140401,3.01,20140131,3.16,0,.13,-.49,0,23.61,-5.05,227.82,15.63,8.07,.19,2.4,.57,3.02,3.72,4.48,51.59,0,73.33,-17.48,5.78,-5.13,-2.38,1.19,28.7,57.59,33.83,40.65,2982840.75,4628.33,-22.64,15,11,13.33,3.65,68,3,-.07,0,0,13.33,0,2,2,113.86,634.44,.49,1.6,1726,1949.59997,1609,1198.90002,84.4,2.2711,5.0475,4.03,116.56199,.04,0,2251.3999,19.66,.71,16.75,16.75,14.09399,1.87,.38603,.43,1.15,,.03968,1.1,,9.15,.5,2.07,8.96,.7,9.08,10.93,12.86,2152.89794,9966.27734,-.75,1.72,8.69349,385.694,1.57,3.25,,227.82,231.3311,525.29998,354.20001,568.79998,574.40002,743.59997,6378.3999,9039.5,
GLOBUS MEDICAL,GMED,93.48,-2.34,0,14.29,10.93,.23,.23,20140601,.9,20131231,.94,-4.55,-4.17,-5.45,0,2,12.5,28.67,14.6,,.23,.23,.22,.87,.92,1.01,23.43,0,100,-9.81,-25.84,-20.21,-4.21,.35,14.13,26.95,16.76,18.2,954509,1222.86,-15.46,7,7,0,22.22,19,1,0,0,0,0,0,0,0,67.19,97.73,0,0,67.94,416.79998,47.9,70.34999,65.12999,.78013,1.43219,19.68,6.89559,.16,0,472.35998,7.86,-3.73,18.17,18.17,28.85799,1,4.14071,5.1,7.08,0,0,0,,15.36,2.72,2.31,11.48,1.36,17.95,19.83,19.36,115.26699,461.475,12.87,12.56,24.74099,244.5716,,0,-8.2552,28.67,-7.0703,103.75199,68.61,102,102,121.38999,100.33999,434.46,
GOME ELEC APPL,GMELY,,0,,,,,,,.86,20131231,,,,0,0,30.23,248.28,,17.6,,,,,.81,1.12,1.28,,0,100,-5.44,-2.97,6.85,-1.33,1.11,71.66,19.35,9.93,16.68,1953,2828.79,-11.36,1,1,0,0,68,1,0,0,0,0,0,0,0,169.59,,,0,3851.6101,4257.43017,1201.39001,1328.46997,39.66999,,6.5409,,,.01,0,2475.30004,14.67,,,,,1,.75015,.76,1.11,,0,.08026,,,,1.14,11.86,.85,13.03,14.89,,,10087.59472,,19.98,,2828.79492,1.22,2.79,,,185.16415,237.324,109.47,193.05,202.83,295.92999,7740.3999,9114.35,
GRUMA SA-ADR B,GMK,92.06,12.1,43.18,10.42,70.45,.62999,.63,20140601,2.3,20131231,3.12,0,5.66,11.32,,-1.3,210.81,342.39,7.7,45.96,.44,.56,.58,1.45,2.27,2.41,42,0,0,46.65,10.34,-5.5,1.02,1.34,87.04,48.28,20.65,44.7,20853.1,4835.96,37.48,2,0,0,0,,,0,0,0,100,0,0,2,108.19,131.82,0,1028.06994,891,1439.38,206.53999,600.05999,703.5,1.24129,4.55259,8.41,6.6661,.06,0,1132.5,11.49,16,15.63,30.5,5.83489,3,.15243,.94,2.06,.81,44.838,0,,10.44,1.18,3.89,12.45,2.56,18.55,19.69,14.33,,4003.4851,3.93,-13.22,4.26529,4835.95898,0,0,200.89442,342.39,100.37787,388.29501,259.82998,303.38,379.16,507.61999,2866.09008,4247.32,
GOLAR LNG PARTN,GMLP,,1.54,44,96.55,55.81,.72,.72,20140301,3.5,20131231,3.42,,.33,2.61,0,-31.77,68.27,25.36,9,,.66,.6,.66,2.24,2.39,2.51,36.67,0,60,19.44,15.03,0,.44,.76,89.29,37.08,28.21,36.13,126533.45,1649.8,11.96,5,3,0,-8,119,3,0,0,0,40,0,0,2,45.66,95.29,1.75,892.09997,241.07,136.36999,0,1.08,.70999,.19367,129.639,42.03,1444.87194,.46,0,570.11999,12.46,2.1,9.49,29.49,,1.8,.55826,.56,.31,,65.819,2.0525,39.5,8.14,4.82,2.9,7.73,1.68,14.37,15.13,10.56,100.735,384.143,,14.85,,329.96078,5.04,6.06,,25.36,18.61727,213.45599,150.80999,156.27,199.46,271.61999,57.61999,329.19,
GENERAL MOLY IN,GMO,66.67,0,0,-50,4.17,-.03,-.03,20140601,-.09,20131231,-.09,0,,0,,0,30.77,80.4,,,-.03,,-.02,-.13,-.09,-.13,1.05,0,0,-23.88,3.03,-.97,4.08,1.85,18.87,1.88,.82,1.02,164252.7,93.71,-28.64,1,0,100,0,116,93,0,0,0,0,0,1,0,91.87,200,0,.52999,7.44999,22.30999,0,0,0,,,,,,0,134.78999,1.43,,-2.26,-5.81,-4.6168,4,2.99463,2.99,1.78,0,61.526,0,,-2.16,,.71,,,,,,,,,,-4.24491,93.707,0,0,-60.45274,80.4,-64.31451,-8.072,-16.3,-16.3,-15.55001,-15.21001,0,,
GATX CORP,GMT,100.87,.54,7.48,21.62,15.17,1.14999,1.15,20140601,3.5,20131231,4.28,,-1.46,.9,,23.52,24.56,38.85,,22.39,1.07,1.12,1.16,3.29,4.32,4.87,73,0,33.33,24.57,2.03,-1.31,3.01,1.17,83.24,69.1,44.58,64.99,279676.94,2992.07,16.78,3,1,0,-11.11,216,12,0,0,0,66.67,0,0,2,46.04,106.42,0,3871,159.6,804.90002,94.59999,0,282.20001,.20234,,14.65,4.9738,.13,0,1397,29.85,0,3.67,14.49,2.41829,2.67,3.27506,5.04,2.51,3.06,75.356,1.24,3.4702,2.96,2.2,2.18,6.94,,13.35,15.03,15.19,391.1,1448.73303,4.25,6.26,1.9217,997.35833,3.07,2.03,37.43474,38.85,23.30662,432.6,169.3,159,325.6,593.40002,613.20001,1321,
GNC HOLDINGS,GNC,95.99,-6.55,-2.53,-1.32,-1.73,.76999,.77,20140601,2.85,20131231,2.91,0,-11.31,-9.03,-18.26,-.32,22.32,2.55,12.02,27.31,.79,.59,.74,2.87,2.84,3.16,38.56,0,30.77,-39.3,-2.5,3.83,3.29,1.16,11,60.56,32.38,35.48,3383478.75,3230.06,-43.1,13,4,7.69,0,143,6,0,0,0,61.54,0,1,8,91.04,97.25,-.92,1341.65002,247.05999,966.03997,1529.11999,547.90997,144.83,.99094,2.93899,10.35,17.87999,.1,0,815.57,8.17,-11.38,13.27,34.97,11.468,2.54,1.1062,1.69,3.42,1.8,64.31199,.6,,10.26,1.22,4.35,10.14,1.04,11.24,12.49,12.19,666.333,2633.68896,12.39,8.24,8.8267,269.17199,.83,1.8,5.34177,2.55,10.33764,332.294,265.01998,407.45999,460.48001,514.79998,1637.18005,2630.31,
GENOCEA BIOSCI,GNCA,104.88,1.51,2.38,-26.67,,-.41,-.41,20140601,,20130930,,,2,1.21,,,,,,,-.42,-.49,-.43,,-1.96,-1.63,30.33,0,100,,-30,-11.8,3.44,,19.06,22.7,11,13.23,36492.4,229.2,,3,3,0,0,10,77,0,0,0,0,0,0,0,17.32,,0,8.93,4.48999,12.86999,0,0,0,,,,,-28.49,81.55999,-80.13,2.83,0,,,,1.33,2.86636,2.87,11.15,.15,12.711,0,,,,4.67,,,,,,,,,-62.94,,229.197,,0,,,-55.68863,-20.49,-20.8,-20.8,-20.35001,-20.04001,0,.73,
GENL COMMS INC,GNCMA,32.5,6.9,233.33,183.33,-53.34,.2,.2,20140601,.23,20131231,.3,-100,-187.5,-6.67,,-32.61,0,4.89,,35.01,.06,-.12,.06,.38,.16,.21,13.5,0,100,1.17,-.97,2.92,1.08,1.06,88.11,11.62,8.76,11.28,94634.85,469.12,-5.16,2,2,0,0,159,1,0,0,0,0,0,0,0,41.59,29.55,0,1113.28002,154.61,329.04998,381.86999,10.34,226.02,.43531,34.34199,1.39,4.17269,.01,0,457.35,11.19,-18.75,.78,2.65,.79036,1,.5995,2.06,2.34,2.48,71.28399,0,,.61,.53,1.01,2.91,,53.71,72.77,37.6,234.69999,909.28497,7.63,14.29,.61272,234.56199,0,0,-27.89868,4.89,-2.79215,156.656,9.39999,42.68,112.4,259.64999,280.45999,811.65,
GENMARK DIAGNST,GNMK,120.99,2.29,3.57,16,10.64,-.27001,-.27,20140601,-.82,20131231,-.93,3.03,1.02,-19.59,,-38.62,,-79.1,,,-.28,-.32,-.33,-.88,-1.14,-1.16,15.33,0,100,-17.46,11.6,-.45,-2.14,.42,42.32,14.05,8.71,10.97,136514.59,456.46,-22.62,3,3,0,0,19,38,0,0,0,0,0,0,0,41.61,136.11,0,0,10.22999,111.09999,1.19,2.09999,2.84999,.21694,8.35009,-145.22,10.33699,-1.23,0,109.16,2.23,3.92,-35.22,-35.22,-59.028,1.33,10.37634,10.65,8.03,0,0,0,,-31.51,17.86,4.93,,,,,,5.9397,27.54599,132.1,33.94,-50.266,152.154,0,0,-84.60908,-79.1,-52.21719,-25.91501,-33.64,-33.59001,-33.58001,-30.74,15.89,27.4,
GENMAB A/S,GNMSF,-562.5,-2.47,-33.33,466.67,,-.08,-.08,20140601,.25,20131231,,0,-73.17,-42.65,,216,159.52,139.86,,,-.06,.11,.45,.2,.79,.39,,0,100,5.72,10.05,6.53,0,.74,70.25,46.72,29.69,41.6543,371.9,2361.26,-.89,1,1,0,0,12,64,0,0,0,0,0,0,0,56.69,2250,0,.05999,161.61999,301.51998,.44999,0,24.21999,.35021,,18.98,4.6999,.16,0,117.45999,5.72,309.09,14.23,14.23,-14.183,1,1.71575,1.87,3.19,,.01542,0,,6.65,17.74,7.28,165.43,,106.81,52.73,,53.93999,154.88,11.71,47.19,-5.80411,2361.25805,0,0,142.95867,139.86,123.77331,13.03199,20.01,11.64,11.64,11.64,0,123.26,
GENERAC HOLDING,GNRC,127.32,-1.08,3.8,-1.37,13.71,.81999,.82,20140601,4.33,20131231,3.71,0,3.66,-.75,0,-15.43,35.74,38.85,10.33,41.55,.79,1.13,1.04,4.1,3.66,3.99,54.67,0,14.29,-18.26,-8.66,6.27,-.04,1.02,32.56,61.17,39.12,46.3,1378329.25,3186.88,-23.37,7,1,0,-11.76,241,1,0,0,0,85.71,0,0,6,68.83,98.49,-.51,1175.33996,250.83999,654.16998,891.10998,300.25,164.89999,.80531,3.1006,17.94,8.074,.12,0,317.07,5.94,-8.1,17.23,77.57,19.986,2.71,.75354,1.41,3.35,2.83,73.858,0,,14.45,2.21,7.8,9.18,1.22,11.6,12.65,12.48,412.43899,1540.89501,30.62,26.31,14.906,531.14581,0,0,39.29214,38.85,87.22377,345.58401,174.52999,278.70999,333.14001,377.05999,916.20001,1485.77,
GENTEX CORP,GNTX,99.4,3.81,0,2.17,7.24,.47999,.48,20140601,1.55,20131231,1.81,0,2.85,1.79,0,25.44,32.48,51.22,11.59,27.12,.48,.48,.48,1.5,1.94,2.03,34.8,0,37.5,-10.25,1.23,3.93,3.5,1.06,61.78,34.08,22.36,29.6,880714.19,4318.94,-15.87,8,3,12.5,10.94,112,20,0,0,0,50,0,1,4,145.91,125.56,.3,265.61999,119.98,601.17999,698.86999,120.06999,143.03999,.71481,6.42999,20.57,7.9963,.19,0,1327.59997,9.92,3.73,16.38,19.59,15.274,2.38,2.81771,4.01,5.7,.18,15.31799,.55,6.6479,14.7,3.35,2.98,15.09,1.31,14.61,15.22,16.35,340.268,1358.48803,18.4,6.58,13.41899,616.99084,2.21,2.16,46.75203,51.22,32.23987,285.77999,222.92999,328.05999,328.05999,390.91,741.13,1171.86,
GENVEC INC,GNVC,90,0,28.57,-275,,-.10001,-.1,20140601,-.77,20131231,-.47,,0,0,,48.05,29.36,51.51,,,-.14,-.1,-.09,-.8,-.4,-.46,8,0,100,-7.76,-5.31,-.47,-.47,2.03,48.25,4.15,.27,2.14,33492.25,36.96,-13.53,1,1,0,0,12,64,0,0,0,0,0,0,0,17.27,39.13,0,0,2.64,6.63999,0,0,.2,.3212,,-162.6,5.7367,-2.72,0,4.61,.75,0,-69.1,-69.1,-80.044,1,2.43939,2.52,5.62,0,0,0,,-52.23,9.27,2.87,,,,,,1,4.19999,-25.93,-60.63,-58.406,36.958,0,0,42.92391,51.51,28.75444,-9.849,-10.01001,-10.01001,-10.01001,-9.84001,0,3.68,
GENWORTH FINL,GNW,85.71,-9.05,-11.43,8.33,3.97,.31,.31,20140601,1.24,20131231,1.32,-14.81,-6.17,-4.48,0,4.15,53.09,52.25,5,27.39,.35,.33,.27,1.11,1.29,1.55,18.08,0,37.5,-11.08,-20.08,-15.95,5.99,1.91,31.38,18.6,11.62,13.81,8614934,6853.64,-16.64,8,3,0,-4.05,217,8,-.16,0,0,62.5,0,0,5,496.28,110.71,0,5161,70544,22111,1266,0,17897,.08652,,7.01,.52786,.06,0,15620,36.8,-21.19,3.08,4,1.54849,2.25,.05973,.31,.31,.26,20.436,0,,.61,.72,.38,6.27,2.14,8.89,10.69,10.46,2381.36499,9474.07617,-.15,-6.19,.28701,979.09161,0,0,69.12928,52.25,72.30769,1088,560,1050,1542,2014,5633,9403,
GENENEWS LTD,GNWSF,,0,-20,,,-.04,-.04,20140301,-.2,20131231,-.21,,0,0,,20,28.57,-65.46,,,-.04,-.04,-.05,-.19,-.16,-.11,2.74,0,100,47.22,9.3,-8.24,0,,76.68,1.37,.39,1.1424,875.75,50.27,38.01,1,1,0,0,,,0,0,0,0,0,0,0,44.01,83.33,0,3.83999,1.1,9.11999,.00999,0,.37999,.04259,,-2760.08,2.5048,-71.37,0,5.03999,,0,-479.14,-1935.73,,1,,,,,,0,,-117.56,191.15,,,,,,,,,,-57.5,,50.27199,,0,,-65.46,-68.17822,-4.61601,-8.49301,-5.05001,-4.34001,-3.90001,0,.12,
GOGO INC,GOGO,111.36,-5.89,0,20,12.59,-.22,-.22,20140601,-.88,20131231,-.9,0,-15.11,-21.68,0,-5.49,-66.04,25.59,15,,-.22,-.27,-.25,-1.71,-.93,-.46,23.25,0,57.14,-34.1,-.12,-1.51,7.35,3.73,26.19,34.34,9.98,16.36,1670614.25,1391.35,-38.22,7,4,14.29,0,122,8,0,0,0,28.57,0,1,2,85.05,111.36,0,235.61999,109.95999,321.95999,73.45999,13.64,25.69,.54969,14.76399,-20.46,13.036,-.34,0,270.19,2.83,-10.53,-15.31,-28.94,,2.04,2.57029,2.8,2.31,.97,49.117,0,,-11.25,3.73,5.78,,,,,,105.21299,408.906,,40.52,,231.89216,,0,-159.98401,25.59,-240.20179,-16.644,-111.28,-110.18001,-80.91001,-22.57,167.99,328.12,
GOL LINHAS-ADR,GOL,9.26,11.83,-800,-223.08,,-.27001,-.27,20140601,-1.22,20131231,-.82,-66.67,-7.14,25.86,,69.47,49.59,60.27,,,-.03,.19,-.03,-1.25,-.37,.18,7.16,0,50,34.79,1.48,1.99,4.23,2.49,79.27,6.84,3.56,6.16,1712466.38,1717.78,26.36,6,3,0,7.69,126,14,0,0,0,50,0,0,3,278.86,8.06,81.82,2399.72998,1606.54003,1661.96997,789.65997,54.59999,151.38999,.94823,36.854,-5.47,23.15999,-.08,0,567.94,1.76,-150,-8.76,-46.47,-5.64651,2,.90628,1,1,4.46,81.691,0,,-5.19,.39,3.5,,,33.75,,,1071.22497,4441.83691,4.68,3.92,-3.4113,429.44601,.85,0,52.49302,60.27,56.63679,-76.27601,-337.73002,-304.46,-56.46,205,2519.31005,4174.48,
RANDGOLD RSRCS,GOLD,150,-8.2,-29.11,16.18,16.98,.56,.56,20140601,2.98,20131231,3.1,0,7.69,-5.41,-15.07,3.07,-35.91,-14.98,6.11,45.62,.79,.98,.84,2.86,3.07,4.02,94.26,0,62.5,34.68,12.11,-3.45,-1.05,.49,84.19,89.34,59.29,84.59,435762.5,7803,26.25,8,5,0,-16.67,128,39,0,0,0,37.5,0,0,3,92.25,95.45,.64,2.92,238.08999,406.45001,0,180.41,186.05,.35368,2.7481,24.12,5.06939,.29,0,3057.85009,34.47,-2.33,9.38,9.38,11.75699,1.75,.16796,.95,1.77,0,.08672,.47999,45.84799,8.53,6.5,2.45,28.03,4.5,21.02,27.54,27.29,,1281.04003,32.4,-13.67,10.69499,1114.71484,.35,.57,-31.29422,-14.98,-36.22695,278.38198,325.73999,402.45999,410.19,410.19,600.21002,1137.69,
SUNGY MOBILE,GOMO,,0,-60,-36.84,,.05999,.06,20140301,.25,20131231,,,0,0,0,120,129.76,,30,,.12,.19,.15,.51,.55,.92,27,0,100,-47.44,-22.82,8.12,2.37,,3.71,31.83,9.98,10.79,163769.3,568.58,-50.73,2,2,0,0,15,12,0,0,0,0,0,0,0,52.69,,0,0,11.22999,146.55,.34,0,13.93,,,,,.28,0,137.92999,4.19,0,,,,1,11.80943,13.05,11.89,,0,0,,,,2.57,22.1,.65,11.73,19.62,,18.79999,72.3,,79.48,,568.57897,,0,,,513.76519,16.30699,15.15999,14.89,14.89,16.03,15.55,54.32,
GLADSTONE COMML,GOOD,102.56,1.08,0,0,-1.25,.38999,.39,20140601,1.49,20131231,1.53,2.5,1.28,1.57,,4.7,.68,-657.87,,.42,.39,.4,.4,1.52,1.56,1.62,20,0,66.67,1.73,3.51,2.7,2.12,.44,61.65,19.07,17.01,18.28,91768.9,320.01,-4.64,3,2,0,0,183,47,0,0,0,33.33,0,0,1,17.51,105.26,0,447,2.34999,27.45,79.62999,0,18.89999,.09897,,-20.26,3.5624,.02,.002,183.138,10.89,2.56,-2.2,-7.84,1.50499,2,3.63829,11.68,3.54,2.53,71.662,1.5,0,-2.01,4.67,1.68,11.15,,11.32,11.72,11.95,18.53,73.01999,10.47,19.65,.60921,160.005,8.84,8.21,-567.54236,-657.87,-59.57447,25.627,1.51999,1.51999,25.87,49.97,5.36,61.34,
GOOGLE INC-CL C,GOOG,,,,,,5.09,5.09,20140601,36.42,20131231,29.08,,,,0,,7.21,13.61,16.32,,,,,,,,670,0,100,,5.33,-1.24,2.51,,83.93,595.98,509.96,582.16,1358770.63,196331.7,,9,9,0,2.64,,,0,0,0,0,0,0,0,337.25,,,2236,15908,72886,17558,426,9390,.55602,85.521,21.37,7.0253,.22,0,87309,283.91,,14.63,15.08,17.412,1.28,3.96467,4.55,4.56,.03,3.2653,0,,11.88,3.11,2.05,24.12,,,,20.02,9606.01562,38956.35156,26.59,19.23,14.541,,,0,16.3763,13.61,20.33156,16277,12920,14496,14496,18435,25858,59825,
