Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
BDCA VENTURE,BDCV,,,,,,-.12,-.12,-.59,20131231,-.48,,,,,,,-.3,-7.71,-25.16,4.55,0,,,,,-26.02,17996.6,9.79,14.47,44.53,,,,,,.12,-31.03,-17.57,0,0,0,NSDQ,100,1,4.55,7.68,0,0,0,,.04,2.30299,-4.05001,-4.05001,156.86419,257.22,-4.053,116.76454,8.79,1.02,,0,-4.05001,0,,-34.09,,,,,,.57,,,-10.962,-10.672,,57.58,,,,,,,,900,,,,,257.22,,,,,,0,0,0,9.02999,.97,0,0,73.41,,,1,
BLACK DIAMOND,BDE,-.17,0,-37.5,50,249.28,-.11,-.11,.12,20131231,.07,,0,0,0,-.06988,-.02,.87,-1.16,-31.73,7.64,.28,-2.56,0,10,83,-42.54,153519.5,32.55,11.19,249.32,-.08,-3.35,0,.04,.31,-.22,-46.43,-11.03,5.21,0,50,NSDQ,50,2.17,7.66,14.91,0,0,-.12,18.33,203.04,-5.87,-7.94001,-4.36001,-401.02564,-70.72,13.41399,-13.48774,0,0,,0,5.07999,125.55,.89,50,109.43,,,18.51,,1.04,41.55416,.76,-1.91611,-1.8561,1.01,-.03,1.23,5.1208,.40923,-19.24,-3.64,-244.44,2.37,15.44,17.66,195.158,53.99599,3.64,-70.72,1.79,1.23,.07,2.37639,.62342,40.36,54.04999,144.91,106.37999,29.25,36.13,0,247.25,7.39,6.9355,6,
BRIDGE BANCORP,BDGE,1.61,,-4.88,-88.57,-22.41,.38999,.39,1.4,20131231,1.44,,0,0,0,,1.97,.74,-4.76,-1.92,21.26,44.63,,0,1,182,-7.69,17189.35,11.64,27.67,279.29,.41,,.42,.45,,1.35,-13.95,-3.46,0,0,0,NSDQ,100,1,24,27.4,0,0,0,,67.32,13.09,19.76,22.06999,2.50587,-12.81,20.739,-19.77446,3.83,4.15,0,.68999,29.34,4.96,6.28,-6.04,16.67,14.91,12.18,12.93,,1.61,279.28799,.79,11.75399,.893,10.12,.19,21.11,.06985,.02716,.24,113.51,15,.68,3.27,9.02,79.5,21,107.69,-12.81,.63,3.77,.85,,.03751,1002.90997,0,2.22,1048.47998,1677.30004,40,0,159.46,14.87,45.79999,3,
BRANDYWINE RT,BDN,1.43,0,2.86,3.03,-.04,.36,.36,1.38,20131231,1.41,-5,-.66,-.76,-1.82,.03263,1.5,1.36,-4.72,-7.67,12.67,45.86,.29,-1.09,87,189,1.7,1494821.75,176.09,16.19,2523.38,.35,.06,.4,.34,.09,1.38,-5.19,-9.7,0,0,66.67,NYSE,33.33,2.42,14.33,16.29,0,0,0,4.19,562.21,42.77,38.97999,166.55999,549.01367,1846.54,244.27999,2756.15258,4.19,4.88,4.4878,.6,372.26998,221.75999,.69,.73,10.16,10.02,9.53,9.19,2.39,1.2,252.3384,.65,-.10712,-.098,1.61,.08,5.25,3.9644,3.22894,-4.85,101.11,3.62,4.67,.42,-.68,598.695,150.914,112.34,1846.54,4.95,4.32,1.38,,.12449,143.67999,0,132.32,413.91,83.69,2595.37988,.03999,1921.39001,11.91,58.04999,12,
BANCO DO BRASIL,BDORY,1.69,0,20.51,26.32,,.46999,.47,1.52,20131231,1.73,,21.35,2.42,,,2.16,2.28,-12.67,10.74,8.04,50.8,,,60,187,20.2,390922.5,2865.42,10,35760.41,.39,,,,,1.51,12.05,-10.54,0,66.67,33.33,OTC,0,4.33,12.48,16.78,0,0,0,5.7,47853.36,7344.77001,11557.45019,16770.78125,16.89555,-36.1,6277.37011,15.42177,1.09,2.78,43.34099,.48137,18752.6914,26393.30078,3.99,-30.59,7.21,7.38,5.78,5.7,1.3,1.11,35760.40625,.82,7.23579,1.1331,15.33,.15,8.05,.44664,.55509,-23.16,,11.18,.95,3.48,-7.58,35791.15234,,,-36.1,.92,.6,3.03,,.1012,139075.57812,0,5511.18994,349173.375,378486.59375,85680.39843,0,33663.96875,11.26,75.16799,3,
BIODELIVERY SCI,BDSI,-.77,,-100,100,-13.28,-.14001,-.14,-1.51,20131231,-.95,-3.45,116.67,-1.86,-12.73,-.16348,.57,2.39,-4.18,37.01,4.24,88.21,0,-1.18,7,10,180.31,1763717.75,49.3,22.8,813.94,-.07,-.11,-.29,-.21,-.71,-1.54,161.3,12.62,0,0,0,NSDQ,100,1,16.51,18.15,0,0,0,,11.36,-57.39,-57.39,-57.39,-3578.18189,-15.54,-56.175,-136.00211,0,0,,0,-56.05,2.07999,-82.97,-756.52,,,28.86,,,12.95,162.7886,-50.6,52.754,-8.24441,-109.41,-5.05,-89.95,8.8253,.95278,,58.5,49.27,3.2,-79.18,44.72,43.832,3.08069,204.76,-15.54,1.06,19.59,.13,12.253,.5625,2.78999,0,7.90999,26.6,24.98999,11.84,.0027,-.81271,1.28,11.463,5,
BECTON DICKINSO,BDX,6.25,0,0,2,4.89,1.67999,1.68,5.95,20130930,6.21,.6,-.14,-.03,.46,.00204,6.81,.88,-1.45,-5.97,98.33,65,.23,-.15,23,94,1.94,778872.88,191.84,123.11,21606.49,1.68,.01,1.66,1.56,.02,5.75,-4.97,-4.33,1.54,7.14,57.14,NYSE,35.71,2.43,112.63,120.33,0,0,-.14,9.11,8054,1293,1165,1303,10.51282,-34.64,1731.958,-37.33941,1.94,2.07,10.324,1.98,1849,3883,13.68,10.8,18.14,18.03,16.53,12.63,1.98,4.05,1543.32067,10.06,15.95699,11.64599,23.58,.16,14.7,7.12179,1.5169,4.6,105.38,4.98,2.89,4.48,2.56,8408.74414,2167.65087,99.11,-34.64,2.1,2.59,.7,2.73609,.68389,1240,1402,1943,5873,2130,3763,0,5043,27.84,41.198,14,
BIOTELEMETRY,BEAT,.06,,-100,225,,.01999,.02,.06,20131231,.04,,0,0,0,.79575,.19,1.3,.43,-5.37,6.54,9.85,-100,0,,,-11.21,201016.09,26.46,16,186.54,0,.77,.01,.04,.91,-.28,-17.23,-2.89,0,0,0,NSDQ,100,1.33,7.05,11.72,0,0,0,,129.5,-7.31,-7.1,-7.1,40.08196,6.86,13.88799,13.02649,0,0,,0,5.21,50.43,2.01,121.43,176.25,124.41,36.15,13.07,,2.97,62.17866,1.44,-5.84071,-5.02611,2.23,-.06,1,7.0176,1.29149,,125,-5.56,1.17,16.15,-1.12,165.337,42.227,62.5,6.86,2.19,1.29,.28,20,1.44079,17.11,2.54999,23.78,44.25,19.04,.46,0,66.81999,2.38,22.07299,3,
B/E AEROSPACE,BEAV,4.49,0,4.63,4.95,2.4,1.12999,1.13,3.55,20131231,3.98,4.35,.59,.16,.34,.01983,5.32,1.48,-1.32,-9.63,71.23,49.74,0,.32,7,65,-1.96,1158379.75,105.3,101.38,8984.45,1.08,.04,1.15,1.17,.04,3.56,-8.61,1.7,14.82,0,20,NSDQ,80,1.53,85.32,99.56,0,0,-.13,17.54,3483.7,365.6,506.79998,629.29998,56.43988,45.25,458.89999,50.98116,0,0,,0,718.90002,2154.80004,8.65,25.44,21.44,18.99,16.03,19.48,1.08,3.14,816.76837,6.91,7.18819,5.90399,15.53,.1,10.67,6.9847,.83244,25.53,129.62,26.55,2.88,12.91,17.99,4343.75097,1114.02001,102.09,45.25,1.38,2.31,.92,1.20749,.64757,484.1,1943.80004,2043.19995,3159.69995,879.09997,1959.40002,0,2609.19995,27.16,47.88899,15,
BEBE STORES INC,BEBE,-.59,,10,-30,14.58,-.18001,-.18,-.59,20140630,-.76,0,-1440,-49.37,-200,-.11985,-.39,1.22,-7.17,-20.65,2.46,0,0,-117.65,36,126,-53.76,484423.31,79.43,3.1,195.41,-.2,-.11,-.19,-.08,-.28,-.7,-56.89,-17.17,0,0,100,NSDQ,0,3,2.46,6.98,0,0,0,,425.12,-73.38,-59.41,-59.41,5.21829,5.72,-27.48101,-11.1745,2.44,1.72,2.3196,.1,-40.04001,286.98999,-26.79,-51.28,,,,,,1.06,97.704,-19.81,-3.9708,-2.9924,-26.79,-.17,-13.67,72.735,2.08804,,154.17,0,2.7,-12.29,-2.55,402.45001,101.08999,102.78,5.72,2.17,.44,0,8.57709,1.44869,4.80999,31.68,.91,160.28999,59.29,.07,0,185.13,2.33,.03779,2,
BEACON ROOFING,BECN,1.25,0,-8.47,-316.67,-87.87,.54,.54,1.45,20130930,1.15,,0,0,0,.01135,1.68,1.25,-1.73,-22.17,26.04,.54,0,0,9,200,-35.15,359980.59,49.35,38.42,1288.97,.59,.03,.65,.35,.14,1.53,-39.55,-9.05,0,0,70,NSDQ,30,2.5,26.12,40.91,0,0,0,15,2240.72,72.59999,121.47,129.71,-3.91742,-21.96,102.19899,-19.54983,0,0,,0,160.11999,1709.31994,5.82,-13.17,22.71,20.98,15.52,12.5,1.4,1.62,161.12124,4.07,6.77699,4.8571,7.42,.03,2.51,7.9007,.39537,13.45,116.29,-14.14,1.99,9.64,8.87,2342.29199,742.33801,120.6,-21.96,1.45,.56,.27,5.1016,1.62609,329.67001,251.36999,469.20001,705.08001,313.73001,209.6,0,754.34997,16.09,21.04999,10,
STRATEGIC HOTEL,BEE,.67,0,5,0,7.34,.20999,.21,.43,20131231,.55,,1.49,0,0,.02879,.82,2.5,-1.47,-3.48,8.32,77.16,2.04,0,66,189,20.21,1529935,247.38,12.38,2810.23,.2,.08,.21,.17,.05,.41,12.06,-4.7,0,0,60,NYSE,40,2.4,11.36,12.26,0,0,0,6,900.01,10.97,7.26999,91.54,119.83724,915.45,125.01399,640.5902,0,0,,0,208.75,622.14001,7.49,65.38,20.66,17.01,13.89,18.68,2.83,2.18,562.04522,6.56,-4.88911,-3.86751,22.65,.01,18.17,17.909,.49876,124.87,150,55.35,1.98,11.34,5.26,1075.49694,301.385,100,915.45,.63,2.96,1.3,,.3612,39.65999,0,67.62999,189.22999,299.88,1163.68994,279.54,523.32,5.21,56.39199,5,
BELMOND LTD,BEL,.06,0,0,-37.5,-27.23,.07999,.08,.19,20131231,.07,,0,0,0,.53913,.15,2.41,-4.29,-18.1,11.81,5.81,-34.78,0,2,49,-20.32,307975.66,103.9,15.38,1251.02,.08,.21,.15,-.06,-.83,.22,-25.72,-6.88,16.67,0,25,NYSE,75,1.5,12.04,15.77,0,0,-.3,1.1,602.2,-31.55,-14.99,19.32999,-346.88386,49.5,75.33,86.71909,0,0,,0,75.26,267.89001,.47,280,172,212.47,82.09,19.46,193.16,1.46,417.00534,.37,-.14565,-.08739,.77,-.05,1.12,12.18099,.90456,,81.48,-70.18,1.69,8.82,4.46,619.32,195.71299,183.34,49.5,1.13,2.05,.74,6.0447,.32692,47.25999,45.04999,171.05999,281.79,209.47,566.90997,0,910.64001,8.27,42.505,4,
BELLE INTL HLDG,BELLY,,0,,,,,,.82,20131231,,,,,,,,.92,-2.43,5.33,9.56,37.23,,,,,1.13,1062.95,843.42,,9834.31,,,,,,,-5.73,-8.76,0,50,0,OTC,50,2.5,11.66,15.2,0,0,0,3.3,6933.81,825.54998,1134.67004,1141.06005,20.27418,,1030.92004,,1.51,1.24,30.156,.23511,1346.43005,2975.93994,,5.13,,,,9.54,,2.32,,,,,,.12,,,1.85747,,,,3.55,32.97,,,,,,2.42,,,2.65289,,528.84997,1057.85998,809.22998,3332.12011,939.66998,0,0,4239.97998,5.03,0,2,
FRANKLIN RESOUR,BEN,3.74,0,-4.17,-1.11,-2.26,.92,.92,3.37,20130930,3.57,,-.14,0,.5,.00553,4.08,1.59,-1.74,-4.82,49.52,57.51,.2,0,31,155,-5.27,1298306.13,625.29,60,34197.16,.96,.02,.97,1.01,.02,3.43,-11.69,-3.41,0,0,69.23,NYSE,30.77,2.38,54.69,58.51,0,0,0,16.57,7985,2150.19995,3026.60009,3073.5,11.32856,5.6,2381.69995,9.3226,.88,.86,11.456,.38999,3305,0,16.45,12.96,15.32,14.64,13.41,14.59,.88,2.88,3799.68481,14.05,17.162,14.09,19.95,.27,27.07,6.9414,3.28217,18.43,120.69,10.85,4.77,12.45,13.03,8552.84765,2211.26806,104.95,5.6,3.91,4.11,.18,,.51899,1268.59997,0,2359.19995,7883.5,2015.40002,2295.10009,0,10685.5,18.99,16.607,13,
BROOKFLD RENWBL,BEP,.98,,-42.31,,,.15,.15,.52,20131231,.56,,0,0,0,,.49,.79,1.97,3.28,25.27,81.7,0,0,27,230,16.74,35142.55,143.3,33.96,4376.5,.26,,.06,.15,,.19,8.83,3.36,0,0,25,NYSE,75,2,30.54,31.72,0,0,0,,1706,215,216,626,326.31579,227.63,750,5200,5.08,,,1.8125,1161,530,1.76,300,54.54,31.16,62.97,5.41,,.53,4376.5039,1.42,,,3.5,.13,14.32,8.0978,.4677,,150,88.46,.74,30.33,,1824,377,40,227.63,.67,2.52,.85,,.09882,184,0,0,604,898,6106,796,6740,57.96,43.573,4,
BERRY PLASTICS,BERY,1.34,0,41.67,-6.9,22.69,.50999,.51,1.03,20130930,1.29,,0,0,0,.01097,1.55,.84,1.33,-6.12,18.12,77.75,1.39,0,1,104,2.61,799788.25,117.5,27.67,2868.18,.36,.04,.38,.27,.09,.95,-4.35,1.12,-17.86,0,28.57,NYSE,71.43,1.57,24.41,26.21,0,0,0,15.3,4647,57,85,329,2750,9.26,463.70001,265.21737,0,,,0,670,3835,4.2,221.88,18.92,18.19,15.73,6.07,1.19,,478.02917,2.96,,,,.01,3.22,10.26299,.4576,,115.66,30.26,1.77,-2.5,,4978.43994,1333.55004,74.84,9.26,1.11,.59,-29.99,6.68909,.92172,449,575,2520,1337,684,3875,0,-196,-1.11,,7,
BROWN FORMAN  B,BF.B,3.34,0,-4.11,5.08,3.66,.69999,.7,3.06,20140430,3.1,-.95,.35,-.36,0,.00936,3.72,.66,-1.52,-3.97,67.4,81.03,0,.96,13,111,20.55,344366.81,213.56,92,19455.68,.73,.03,1.05,.9,.03,3.02,12.38,-1.24,0,12.5,50,NYSE,37.5,2.63,91.1,96.65,0,0,0,9.4,3946,659,947,973,11.50592,13.37,709,11.31788,1.27,1.74,8.78689,1.09,1023,913,22.54,14.18,29.39,27.24,24.5,27.47,2.9,9.47,3891.13598,16.45,20.934,14.81499,34.05,.17,16.75,6.2932,1.29411,8.88,109.79,9.28,3.55,4.28,5.37,3174.9331,901.79998,150.57,13.37,2.31,4.9,.49,1.01409,.98237,569,882,1297,2177,561,997,0,2032,9.62,32.7,8,
BRIGHT HORZN FS,BFAM,1.37,0,0,3.23,2.53,.38999,.39,1.09,20131231,1.29,,0,0,0,.00595,1.63,.72,1.21,-3.43,33.68,81.75,,0,6,180,13.5,96752.6,66.02,45.17,2753.08,.39,.02,.3,.36,.04,1.08,5.81,-.48,0,0,33.33,NYSE,66.67,1.78,41.7,43.49,0,0,0,18.32,1218.78,12.61999,4.80999,45.43,54.65686,288.96,146.988,218.42761,0,,,0,121,937.84002,5.14,110.83,32.33,30.44,25.66,18.48,1.66,2.88,688.26898,4.02,,,9.46,.01,6.52,20.801,.33903,,112.04,25.69,.9,13.8,,1363.62902,335.75601,77.56,288.96,.65,2.1,.79,,.61713,78.69,0,1531.33996,165.16999,255.08,756.32,0,889.13,14.5,44.2,9,
BREKFORD CORP,BFDI,,,,,,-.02,-.02,-.03,20131231,-.05,,,,,,,.96,-2.78,2.94,.11,15.74,,,,,-27.08,376635.75,44.5,,7.79,,,,,,0,-32.03,9.38,0,0,100,OTCBB,0,3,.175,.52,0,0,0,,13.61,-1.41,-1.41,-1.23001,-11.90477,-26.2,-.15001,-57.42574,0,0,,0,.02999,10.18,-175.15,-200,,,,,,,,-37.1,-15.374,-1.1788,-331.1,-.1,-17.12,5.49459,.4421,,,,1.02,-25.61,4.08,,,,-26.2,.76,.55,-3.27,15.133,2.1675,1.50999,1.25999,0,4.86999,4.75,.75999,0,1.11,-.01,51.32699,1,
BANKFINANCIAL,BFIN,2.02,,-30,-50,-9.58,.07,.07,.16,20131231,.24,,0,0,0,,.43,.95,.48,-7.98,8.84,64.59,,0,43,191,14.63,21853.75,21.1,10.75,221.57,.1,,.15,1.78,,.15,6.86,-1.78,0,0,100,NSDQ,0,3,10.5,11.41,0,0,0,,57.53,3.28999,3.28999,3.29999,112.14022,116.58,7.788,112.38181,.76,1.75,-43.382,.03999,7.78999,3.63,2.73,116,43.75,5.2,24.42,28.45,,1.24,221.57099,.34,-4.27461,-.60089,2.77,.06,8.83,.05075,.12728,,300,1162.5,1,-14.88,-6.8,54,13.69999,214.29,116.58,1,4,.02,1320,.03827,1102.01,0,2.43,1262.95996,1264.47998,3.04999,0,175.61999,8.45,1.68719,1,
BANCO FRANC-ADR,BFR,1.9,,-38.64,172.97,,.27,.27,2.08,20131231,2.73,0,-.57,6.74,8.33,.0521,1.75,1.69,-2.13,6.37,5.56,86.29,0,-15,27,187,84.77,319687,178.96,11,2301.41,.44,,.34,.39,,1.64,72.25,26.82,0,0,50,NYSE,50,2,12.86,14.02,0,0,0,,1978.66,372.85998,579.42999,631.75,33.63199,81.76,372.86599,99.63071,.15,4.65,330.60501,0,631.75,439.76,33.72,,4.71,6.77,7.33,6.17,,2.08,1150.70654,5.18,26.20299,3.22919,41.77,.19,22.69,.33274,.29303,-9.94,60.71,-8.65,1.15,18.51,21.48,1272.36999,,125.93,81.76,1.21,1.07,.2,,.22838,7456.37011,0,22.23999,9829.19042,8097.31982,297.85,0,1318.16003,6.17,18.10499,2,
SAUL CENTERS,BFS,2.91,,10,0,3.62,.76999,.77,2.37,20131231,2.85,,0,0,0,.00198,2.99,.58,-1.61,-4.71,45.06,23.22,0,0,10,214,-2.93,40192.85,20.8,52.33,963.66,.7,0,.72,.72,.02,2.36,-9.51,-6.87,0,0,33.33,NYSE,66.67,2,46.33,50.53,0,0,0,,197.9,30.87,34.84,34.84,-7.49176,57.31,81.25199,18.62989,3.45,3.57,.14478,1.44,85.22,46.97,4,4.87,16.26,15.9,15.49,11.69,,6.09,321.22134,3.78,3.266,3.06279,32.55,.16,22.25,4.65549,.85898,1.42,104.35,22.92,2.68,4.11,6.49,200.203,49.448,93.51,57.31,3.04,4.7,5.24,,.16989,43.88,0,0,61.18,20.13999,820.05999,180,135.11999,7.6,70.898,3,
BUNGE LTD,BG,5.87,0,24.82,-108.22,-31.79,1.75999,1.76,4.78,20131231,5.04,,.92,0,0,.01667,7.07,.9,-2.03,11.25,73.51,85.06,.81,0,,,2.84,783310.5,145.9,89.43,12319.97,1.41,.1,1.94,2.25,.05,6.07,-4.13,.31,0,14.29,28.57,NYSE,57.14,2.14,84.44,86.36,0,0,0,10,61347,306,1014,1377,378.125,1992.86,1351.23999,-7.23685,1.61,1.49,8.7721,1.13999,1945,58587,5.92,3.46,16.75,14.39,11.95,9.22,1.44,1.28,2463.99316,3.02,4.4204,2.5687,8.59,0,1.34,24.34,.78436,26.65,94.63,22.76,1.61,.58,10.71,62850.67578,16016.65722,110.23,1992.86,.96,.2,.43,9.65789,2.25629,2144,5796,718,17772,12535,3179,690,9435,66.2,28.857,7,
GENL CABLE CORP,BGC,1.04,0,7.41,37.5,13.82,.28999,.29,1.73,20131231,1.05,-7.5,0,-2.19,-1.65,.09601,1.99,1.56,-13.34,-31,17.74,0,0,-3.97,2,122,-39.68,628838.81,48.68,27.63,863.6,.27,.07,.4,.4,.17,1.67,-43.77,-18.06,0,0,25,NYSE,75,1.5,17.74,34.41,0,0,0,10,6421.2,-17.8,27,151.89999,-513.95344,-331.53,219.44,-312.1988,4.06,.54,,.72,285.39999,5717.5,2.3,2062.5,16.9,17,8.93,4.02,1.7,.87,287.867,1.17,2.69449,1.5338,4.41,0,.85,5.07289,.38256,-31.49,89.63,-39.69,1.76,5.97,9.02,6088.7998,1529.40002,139.08,-331.53,1.14,.14,1.14,4.25559,1.3671,1171.69995,1239.59997,367.5,3006.5,1555.80004,1136.59997,0,1396.80004,20.37,53.25699,4,
BGC PARTNRS INC,BGCP,.56,,0,15.38,3.65,.12999,.13,.49,20131231,.51,,0,0,0,.01251,.68,1.4,-5.17,-2.79,5.13,76.92,0,0,10,156,21.16,906033.5,217.16,8,1591.77,.13,0,.13,.16,.05,.47,12.94,-4.18,0,0,33.33,NSDQ,66.67,2,7.33,7.99,0,0,0,,2498.09,70.91999,265.92001,304.25,197.23385,-18.33,402.001,217.26722,6.55,9.05,5.116,.47999,551.54998,22.53,12.91,-15.52,14.37,12.97,10.78,3.91,,2.53,795.88397,5.72,11.88899,5.0363,21.97,.03,8.78,1.27479,.87184,8.26,130,15.31,1.43,41.37,17.5,1792,431,100,-18.33,1.71,.93,.65,.58559,.65113,758.59997,33.11,181.50999,1577.54003,901.34002,408.35,0,702.73999,2.9,42.957,3,
BIG 5 SPORTING,BGFV,.7,3.85,-17.65,11.11,1.21,.14,.14,1.33,20131231,.93,,-3.63,-1.48,0,.03584,.85,1.75,-5.09,-23.14,9.7,0,1.45,0,24,97,-51.06,143633.7,22.31,10.83,216.39,.17,.08,.27,.2,.11,1.29,-54.38,-8.06,0,0,100,NSDQ,0,3,9.7,20.1,0,0,0,13.5,993.32,27.94,45.68,47.41999,87.39102,-26.71,49.71099,.98325,4.12,2.46,19.138,.4,67.86,664.58001,8.56,82.19,10.43,13.91,11.41,4.35,1.03,1.15,54.097,4.73,10.031,5.1223,10.93,.03,2.13,79.899,.15739,.42,60.56,-47.56,2.13,5.62,2.42,975.635,258.677,194.64,-26.71,.25,.22,.37,2.16149,2.2153,16.29999,300.95001,4.42999,345,176.30999,44.59999,0,190.77,8.46,26.847,4,
BRIGGS & STRATT,BGG,1.12,,-11.43,-6.9,-20.31,.31,.31,.82,20140630,.82,,0,0,0,.02525,1.37,1.41,-.72,-6.81,18.29,20.98,0,0,4,176,-11.4,267488.25,45.81,24,883.18,.35,-.14,-.37,.14,.3,.85,-17.4,-6.13,0,0,50,NYSE,50,2,19.28,23.01,0,0,0,,1859.06,28.34,37.13,55.59,184.2199,184.22,97.83899,-366.53022,2.59,2.39,2.54399,.47999,114.38999,1512.27001,4.45,-11.83,23.51,17.21,14.13,9.21,,1.34,441.58898,2.7,5.6736,3.0801,5.99,.02,2.1,8.05609,.90256,-2.1,104.29,36.59,2.87,-.18,-1.69,1895.44995,317.54998,-117.74,184.22,1.63,.48,.33,3.52729,1.286,220.58999,376.1,224.83,870.33001,303.17999,225,0,672.42999,14.39,25.072,2,
BG MEDICINE INC,BGMD,-.26,,0,,,-.06,-.06,-.58,20131231,-.33,,0,0,,,-.14,2.84,5.4,-46.37,.54,3.11,,,,,-43.28,166825.55,34.42,1.4,20.3,-.06,,,,,,-47.12,-28.92,0,0,0,NSDQ,100,1,.5899,2.08,0,0,0,,4.07,-15.84001,-15.84001,-14.68001,33.33333,50.17,-15.68901,41.37001,0,0,,0,-14.52001,1.37999,-395.55,50.85,,,,,,5.1,20.30299,-98.69,-178.28501,-151.025,-8650.43,-3.89,-267.64,9.71759,1.09795,,,55.17,1.68,44.69,54.63,,,,50.17,1.14,5.46,.19,2.6517,.36875,.31,.44999,.18999,8.82999,7.34999,2.96,0,-1.06,.12,15.678,1,
B&G FOODS CL-A,BGS,1.56,0,-15.38,-12.82,,.33,.33,1.43,20131231,1.41,,0,0,0,.00906,1.74,.69,-2.15,-15.13,27.82,0,,0,,134,-17.96,321905.41,53.66,33,1492.93,.39,,.4,.5,,1.49,-23.52,-5.57,0,0,66.67,NYSE,33.33,2.67,27.82,37.15,0,0,0,9.95,724.97,52.34,80.88999,122.69999,-11.67736,52.4,104.747,-18.72304,4.89,4.91,19.142,1.23,151.16999,482.04998,6.03,5.93,19.73,17.83,15.99,14.19,1.79,3.97,746.466,4.94,6.10389,4.9835,20.35,.07,9.48,12.524,.13527,22.74,114.29,9.09,1.64,14.38,10.25,858.34997,,121.21,52.4,.76,1.88,2.66,4.95179,.52099,66.18,101.25,1163.43005,181.72999,105.70999,844.63,0,378.35998,7,72.703,3,
BIGLARI HOLDING,BH,,,130.84,14,,2.47,2.47,9.14,20130930,24.03,,,,,,,1.13,-1.32,-20.25,338.88,1.16,,,,,-32.7,17685.7,1.72,550,586.83,1.07,,,,,,-37.26,-7.1,0,0,0,NYSE,100,2,340.98,519.27,0,0,0,,755.82,140.27,196.38999,212.77,549.69897,-59.69,38.351,860.6781,0,0,,0,238.02,566.84997,4.44,-47.41,14.19,,,12.75,,1.06,,3.54,4.544,3.65059,6.52,.19,4.7,91.23899,1.62782,9.16,,,1.42,2.11,4.26,797.53997,192.41999,,-59.69,1.69,.75,.57,85.30799,.75458,7.05,6.46999,35.97,197.47999,113.01,216.74,0,564.58001,321.59,36.339,1,
BENCHMARK ELETR,BHE,1.62,8.88,16.22,16.67,23.57,.43,.43,1.26,20131231,1.65,,0,0,0,.01234,1.78,1.39,-3.93,-11.9,21.76,23.7,.45,0,5,242,-1.56,251745.55,53.87,24.33,1223.88,.37,.01,.41,.43,.05,1.2,-8.23,-8.5,0,25,50,NYSE,25,3,22.72,25.81,0,0,0,18.63,2506.47,111.15,116.16999,118.09999,96.37809,130.93,110.111,90.08736,0,0,,0,159.03999,2319.97998,7.32,4.13,13.77,14.02,12.74,11.14,.75,.96,407.96032,5.53,6.27449,4.76599,7.38,.04,3.34,5.51889,.96179,6.33,93.94,28.57,3.61,1.55,3.64,2774.83496,689.09497,96.12,130.93,2.38,.45,.01,6.0349,1.654,562.98999,396.69,44.68999,1342.82995,398.36999,9.52,0,1227.03002,23.57,.71794,4,
